time,total_energy,angular_momentum
0.0000000000,3.015953531589538e+01,4.372341309657854e-02
0.0100054510,3.015953499155463e+01,-3.288079397563226e-01
0.0200054510,3.015953403279835e+01,-2.671853161238944e-01
0.0300054510,3.015953301572217e+01,-2.067439876532818e-01
0.0400054510,3.015953190661071e+01,-1.475623207979600e-01
0.0500054510,3.015953066923462e+01,-8.967463222293798e-02
0.0600010504,3.015952927032374e+01,2.079596263625509e-01
0.0700010504,3.015952766384238e+01,2.717132217736778e-01
0.0800008216,3.015952579734591e+01,8.142534172353988e-01
0.0900010115,3.015951832675758e+01,1.622887310122168e-01
0.1000010115,3.015950976907250e+01,2.731504410194112e-01
0.1100092664,3.015950167448831e+01,8.519571187097793e-01
0.1200079431,3.015949457957354e+01,8.777897236046939e-01
0.1300016775,3.015948842548809e+01,9.451796496134796e-01
0.1400011094,3.015948288333174e+01,1.292975341181827e+00
0.1500011094,3.015947802737626e+01,1.411690026454179e+00
0.1600091216,3.015947386705619e+01,1.770904976520482e+00
0.1700091216,3.015947040060401e+01,1.892053748161185e+00
0.1800049166,3.015946719207086e+01,2.325780498739095e+00
0.1900079161,3.015946659621467e+01,2.815036913529624e+00
0.2000079161,3.015946676109969e+01,2.952686176097709e+00
0.2100079161,3.015946693996730e+01,3.089895606904109e+00
0.2200079161,3.015946706332477e+01,3.226469292439433e+00
0.2300073514,3.015946705764916e+01,3.186433904842851e+00
0.2400076253,3.015946684644409e+01,3.550560726624454e+00
0.2500076253,3.015946634565586e+01,3.682362580131810e+00
0.2600073529,3.015946295314837e+01,3.954022659275331e+00
0.2700010374,3.015945630919038e+01,4.203587477587273e+00
0.2800062035,3.015944753868875e+01,3.953022066674762e+00
0.2900041859,3.015943698758336e+01,3.781416801832244e+00
0.3000041859,3.015942484876684e+01,3.893371134668347e+00
0.3100087906,3.015941110089451e+01,4.267485596181951e+00
0.3200087906,3.015939581336882e+01,4.361020374691336e+00
0.3300001406,3.015937930864179e+01,4.424482983839793e+00
0.3400047506,3.015936364317257e+01,4.321240156677648e+00
0.3500039071,3.015934957171043e+01,4.073815274210587e+00
0.3600039071,3.015933719254533e+01,4.092903106610724e+00
0.3700050429,3.015932657503855e+01,4.964776975231606e+00
0.3800050429,3.015931758916987e+01,4.965977188032539e+00
0.3900016710,3.015931380520744e+01,4.374396007436150e+00
0.4000076642,3.015931540591691e+01,4.448542803850767e+00
0.4100076642,3.015931723182486e+01,4.440627054246921e+00
0.4200076642,3.015931925021430e+01,4.432457284504297e+00
0.4300076642,3.015932143244349e+01,4.424029470798250e+00
0.4400076642,3.015932375364178e+01,4.415330823896801e+00
0.4500076642,3.015932619215119e+01,4.406341530824164e+00
0.4600076642,3.015932872904377e+01,4.397036123185195e+00
0.4700003291,3.015933133936212e+01,4.524415777681084e+00
0.4800093413,3.015933411319324e+01,4.227847954993842e+00
0.4900093413,3.015933699464182e+01,4.230082565621597e+00
0.5000061039,3.015933989149013e+01,3.935376624469164e+00
0.5100061039,3.015934279847188e+01,3.932432487960801e+00
0.5200061039,3.015934570694122e+01,3.928840325190915e+00
0.5300061039,3.015934861040010e+01,3.924545276895851e+00
0.5400061039,3.015935150251077e+01,3.919491710764890e+00
0.5500046349,3.015935429391476e+01,4.280499296229562e+00
0.5600081410,3.015935659529467e+01,3.889868800241869e+00
0.5700074192,3.015935882926984e+01,4.226651444139379e+00
0.5800074192,3.015936097613934e+01,4.206146096283021e+00
0.5900074192,3.015936300388664e+01,4.183877445528063e+00
0.6000074192,3.015936490065040e+01,4.159715600950452e+00
0.6100065398,3.015936663031502e+01,3.745691111846273e+00
0.6200031058,3.015936790007220e+01,3.412711877038396e+00
0.6300031058,3.015936895296200e+01,3.376385884269883e+00
0.6400069749,3.015936971476972e+01,3.640399867112225e+00
0.6500069749,3.015937017949349e+01,3.601517953919886e+00
0.6600069749,3.015937036285557e+01,3.559974951467346e+00
0.6700069749,3.015937024562226e+01,3.515671511303093e+00
0.6800069749,3.015936980876831e+01,3.468525504427177e+00
0.6900069749,3.015936903350227e+01,3.418478069335369e+00
0.7000064054,3.015936789926580e+01,3.272325895960030e+00
0.7100049338,3.015936639111036e+01,3.147531970851124e+00
0.7200049338,3.015936448881871e+01,3.089937925725562e+00
0.7300049338,3.015936217211621e+01,3.029544061069311e+00
0.7400019843,3.015935940294165e+01,2.673543154884003e+00
0.7500046268,3.015934665360230e+01,1.744714831257329e+00
0.7600046268,3.015933858689067e+01,1.711378175281196e+00
0.7700046268,3.015933087949993e+01,1.683738392780566e+00
0.7800046268,3.015932365745568e+01,1.661498787579276e+00
0.7900046268,3.015931701745350e+01,1.644250011505928e+00
0.8000095956,3.015931280108159e+01,1.787085558122942e+00
0.8100095956,3.015931082512584e+01,1.782604100142602e+00
0.8200095956,3.015930921441086e+01,1.777263445891023e+00
0.8300026338,3.015930791833499e+01,1.593356703281370e+00
0.8400086248,3.015930158320881e+01,1.829665579286275e+00
0.8500086248,3.015930088873263e+01,1.800369641840680e+00
0.8600049518,3.015930025025116e+01,1.256150656211865e+00
0.8700083748,3.015929915550967e+01,9.765796983130242e-01
0.8800083748,3.015929814671265e+01,9.359159004487532e-01
0.8900083748,3.015929717575467e+01,8.944326820963218e-01
0.9000083748,3.015929619594840e+01,8.523221374789354e-01
0.9100083748,3.015929516222007e+01,8.098121004773231e-01
0.9200072119,3.015929399615652e+01,4.052579120727957e-01
0.9300072119,3.015929265771742e+01,3.558639087032833e-01
0.9400072214,3.015929126268487e+01,7.948889928131028e-01
0.9500026704,3.015928985407414e+01,1.086370901453306e+00
0.9600015282,3.015928820226288e+01,9.676204222817004e-01
0.9700010852,3.015928592556525e+01,4.039899935563651e-01
0.9800066695,3.015928327717482e+01,-2.038331981766436e-01
0.9900093439,3.015928010707755e+01,-5.982229753283120e-01
1.0000062664,3.015927661381318e+01,-1.375870185697068e-01
1.0100062664,3.015927328438607e+01,-1.637352961419252e-01
1.0200062664,3.015927013103482e+01,-1.865472085769139e-01
1.0300015687,3.015926714064060e+01,1.959707331977261e-01
1.0400015687,3.015926410187484e+01,1.896401450198638e-01
1.0500084826,3.015926063919003e+01,5.810502319136002e-01
1.0600072868,3.015925687145839e+01,9.470595994128724e-03
1.0700072868,3.015925273984170e+01,2.050858974635887e-02
1.0800093346,3.015924550695518e+01,-5.023995989366099e-01
1.0900093346,3.015923657425260e+01,-4.696582669978769e-01
1.1000093346,3.015922678551334e+01,-4.303757484086116e-01
1.1100093346,3.015921607470888e+01,-3.843898482341458e-01
1.1200067816,3.015920423483395e+01,2.556728341963350e-01
1.1300025512,3.015918550431514e+01,1.295482831720057e-01
1.1400025512,3.015916501478621e+01,1.790186687219181e-01
1.1500025512,3.015914282783340e+01,2.298239212516284e-01
1.1600025512,3.015911906596380e+01,2.810161400245049e-01
1.1700025512,3.015909393419458e+01,3.315521066436985e-01
1.1800076201,3.015906783971947e+01,4.463414397813141e-01
1.1900076201,3.015904141567725e+01,4.920607552212996e-01
1.2000029256,3.015901469008636e+01,4.158030314114268e-01
1.2100003920,3.015896164326479e+01,1.375498408598834e-01
1.2200003920,3.015894204088292e+01,1.404581657354848e-01
1.2300003920,3.015892467377629e+01,1.443669933235748e-01
1.2400003920,3.015890946878504e+01,1.496456368050144e-01
1.2500003920,3.015889630446287e+01,1.565663571159838e-01
1.2600043687,3.015888503088190e+01,-6.417472840669149e-02
1.2700063611,3.015887552205608e+01,4.230713196214487e-01
1.2800063611,3.015886757160015e+01,4.350121248609535e-01
1.2900063611,3.015886100841833e+01,4.488423158316155e-01
1.3000001587,3.015885568400769e+01,2.324101880747589e-01
1.3100001587,3.015885144770680e+01,2.489029803376449e-01
1.3200051335,3.015884892161539e+01,1.591023296720629e+00
1.3300093460,3.015884783908768e+01,1.758430863406117e+00
1.3400093460,3.015884725252038e+01,1.770789515511648e+00
1.3500010932,3.015884709299085e+01,1.646466904748322e+00
1.3600010932,3.015884729951680e+01,1.657372244474411e+00
1.3700010932,3.015884782028211e+01,1.667828931707410e+00
1.3800079053,3.015884900642447e+01,3.165652988016183e-01
1.3900075203,3.015885069401383e+01,6.669499036589498e-02
1.4000023356,3.015885246414959e+01,2.018636583340798e-03
1.4100027250,3.015885469254116e+01,2.530553994816405e-01
1.4200027250,3.015885691943882e+01,2.715725037386120e-01
1.4300027250,3.015885910442811e+01,2.884408124254301e-01
1.4400027627,3.015886123958402e+01,1.185386365535782e-01
1.4500035855,3.015886331682538e+01,-1.447288715929589e-01
1.4600035855,3.015886532111238e+01,-1.456839352133168e-01
1.4700070153,3.015886734081490e+01,3.062474171784786e-02
1.4800070153,3.015886927486339e+01,2.183280335970639e-02
1.4900042555,3.015887110608704e+01,3.699323569045621e-01
1.5000042555,3.015887283415998e+01,3.538372554148754e-01
1.5100042555,3.015887445642811e+01,3.354103447406198e-01
1.5200057856,3.015887597178927e+01,6.562185942668799e-01
1.5300079954,3.015887737603710e+01,8.285518037251977e-01
1.5400021021,3.015887859099920e+01,3.466666205867773e-01
1.5500021021,3.015887965120569e+01,3.042298124632176e-01
1.5600021021,3.015888058304438e+01,2.595852319613529e-01
1.5700021021,3.015888138481107e+01,2.128077291795274e-01
1.5800094029,3.015888205957383e+01,3.228511801722698e-01
1.5900038938,3.015888260098888e+01,1.478152199625667e-01
1.6000096750,3.015888299766756e+01,9.388543774626054e-02
1.6100080166,3.015888324867845e+01,1.478058474918414e-01
1.6200065022,3.015888334989877e+01,9.925746452941731e-02
1.6300065022,3.015888328961385e+01,4.514573209393385e-02
1.6400074417,3.015888305600516e+01,-1.942577390131588e-02
1.6500074417,3.015888263531764e+01,-7.452101455353770e-02
1.6600024137,3.015888199715750e+01,2.011767037543141e-01
1.6700024137,3.015888111364967e+01,1.494406233537233e-01
1.6800024137,3.015887998619007e+01,9.821963256227577e-02
1.6900024137,3.015887859377812e+01,4.789293987717316e-02
1.7000024137,3.015887691398544e+01,-1.144313796207136e-03
1.7100024137,3.015887492294424e+01,-4.848287181135356e-02
1.7200090029,3.015887134574541e+01,-7.399019773666340e-01
1.7300090029,3.015886541568283e+01,-7.724585892850069e-01
1.7400090029,3.015885874641530e+01,-7.982092558159718e-01
1.7500072804,3.015885135617872e+01,-6.462793699951989e-01
1.7600020933,3.015884327841705e+01,-1.539682790045586e-01
1.7700020933,3.015883452524308e+01,-1.372304676247523e-01
1.7800020933,3.015882525206716e+01,-1.112513262931820e-01
1.7900020933,3.015881559204670e+01,-7.568784102179671e-02
1.8000022601,3.015880674559173e+01,2.052462264493549e-01
1.8100022601,3.015879805678289e+01,2.754298247064620e-01
1.8200013927,3.015878948702910e+01,1.332447551061268e-01
1.8300013927,3.015878117534203e+01,2.144456372843423e-01
1.8400009613,3.015877325971442e+01,1.021723818011119e-01
1.8500013853,3.015876583922470e+01,3.178532833737352e-01
1.8600013853,3.015875898265378e+01,4.154425725141790e-01
1.8700013853,3.015875272221625e+01,5.187335273775101e-01
1.8800013853,3.015874705659776e+01,6.269895624579583e-01
1.8900013853,3.015874195410061e+01,7.394482996336220e-01
1.9000084151,3.015873916278530e+01,1.541346643399090e+00
1.9100053561,3.015873697960382e+01,2.574887395849778e+00
1.9200053561,3.015873342829270e+01,2.692355516052304e+00
1.9300032301,3.015872915696002e+01,2.830904313117132e+00
1.9400010648,3.015872400115933e+01,2.896529921327235e+00
1.9500010648,3.015871784795372e+01,2.990010934110515e+00
1.9600097203,3.015871055851696e+01,3.011922755861739e+00
1.9700097203,3.015870200695901e+01,3.086798353625928e+00
1.9800058870,3.015869020357233e+01,3.254652357661590e+00
1.9900054986,3.015867227512847e+01,3.314370520613112e+00
2.0000023538,3.015865393651680e+01,3.617575105841239e+00
2.0100023538,3.015863557515189e+01,3.601148799963775e+00
2.0200007132,3.015861757341090e+01,3.987227513664831e+00
2.0300007132,3.015860028018994e+01,3.936176592949419e+00
2.0400007132,3.015858397952453e+01,3.870817275378975e+00
2.0500007132,3.015856886624178e+01,3.791969461555705e+00
2.0600007132,3.015855504021165e+01,3.700584918343259e+00
2.0700007132,3.015854251791786e+01,3.597688654241464e+00
2.0800007132,3.015853125043899e+01,3.484330919518037e+00
2.0900007132,3.015852114293617e+01,3.361552690098415e+00
2.1000007132,3.015851207218230e+01,3.230364567369381e+00
2.1100007132,3.015850390035084e+01,3.091737151305780e+00
2.1200044539,3.015849644437640e+01,2.848395829471288e+00
2.1300074408,3.015848956185171e+01,2.791966234817304e+00
2.1400043749,3.015848156347818e+01,2.203371353407149e+00
2.1500090223,3.015847172529210e+01,1.898945369123910e+00
2.1600077577,3.015845953056183e+01,1.677889832425651e+00
2.1700021489,3.015844657339679e+01,1.152371935025977e+00
2.1800021489,3.015843407142788e+01,1.052829769967223e+00
2.1900055252,3.015842226549439e+01,1.063973758881029e+00
2.2000055252,3.015841120404590e+01,9.708327549351486e-01
2.2100026367,3.015839996306978e+01,7.118841561904794e-01
2.2200026367,3.015838787181315e+01,6.456424024317675e-01
2.2300026367,3.015837647862049e+01,5.865857115094437e-01
2.2400048483,3.015836578492524e+01,5.769119019303933e-01
2.2500049517,3.015835607734263e+01,-1.527668959267222e-01
2.2600098860,3.015834706167444e+01,-3.449453119504826e-02
2.2700098860,3.015833867890575e+01,-6.769303403053173e-02
2.2800098860,3.015833093412275e+01,-9.455245219704020e-02
2.2900098860,3.015832383094292e+01,-1.154308119697872e-01
2.3000098860,3.015831736935376e+01,-1.307203123502472e-01
2.3100079338,3.015831154596606e+01,-1.957633531078534e-02
2.3200039750,3.015830634552230e+01,-5.440580744029908e-01
2.3300089644,3.015830164388996e+01,-5.340702875075491e-01
2.3400089644,3.015829742499760e+01,-5.367263734130742e-01
2.3500089644,3.015829365136883e+01,-5.350400808521335e-01
2.3600089644,3.015829028066734e+01,-5.294247611570503e-01
2.3700089644,3.015828726572974e+01,-5.202655137922981e-01
2.3800089644,3.015828455626187e+01,-5.079144812317127e-01
2.3900010227,3.015828210287001e+01,-3.907414889944735e-01
2.4000010227,3.015827984938897e+01,-3.722179800014442e-01
2.4100097686,3.015827774741315e+01,-2.953189303266062e-01
2.4200097686,3.015827575207762e+01,-2.725134740393116e-01
2.4300015812,3.015827382535816e+01,-3.290393355270925e-01
2.4400081957,3.015827191648216e+01,-5.837724586419065e-01
2.4500081957,3.015827000189591e+01,-5.563419226555933e-01
2.4600022718,3.015826820744820e+01,-6.997187664487568e-02
2.4700022718,3.015826638034849e+01,-4.609765679546024e-02
2.4800004559,3.015826448601166e+01,5.323074715180174e-01
2.4900013480,3.015826255695567e+01,6.972015642805942e-01
2.5000072853,3.015826072991049e+01,7.527533493245766e-01
2.5100029141,3.015825930668005e+01,1.594949781677451e+00
2.5200062391,3.015825846128241e+01,1.575664200608495e+00
2.5300035130,3.015825787174919e+01,1.718785269735749e+00
2.5400049693,3.015825758989119e+01,2.185255610689032e+00
2.5500062522,3.015825760657451e+01,2.211107644573046e+00
