id,mass,radius,theta,theta_dot,x,y,vx,vy
1,1.0000000000,0.1000000000,4.7089848478,-0.1820995811,-0.0068082520,-0.9999942059,-0.3641970521,0.0006198899
2,1.0000000000,0.1000000000,1.5879262144,-0.3438938495,-0.0342580998,0.9998532871,0.6876867916,0.0058905749
3,1.0000000000,0.1000000000,2.0862379077,-0.3836238838,-0.9858382113,0.8700751435,0.6675632115,0.1890955417
4,1.0000000000,0.1000000000,3.9176568023,-0.9749616958,-1.4273520555,-0.7004759292,-1.3658743997,0.6958067903
5,1.0000000000,0.1000000000,4.5593692741,-0.9045467452,-0.3048464896,-0.9883153112,-1.7879547960,0.1378739500
6,1.0000000000,0.1000000000,5.3768308295,1.6886348489,1.2332396366,-0.7872610747,2.6587929717,1.0412457137
7,1.0000000000,0.1000000000,4.0522579286,-0.6504424509,-1.2264407533,-0.7899118746,-1.0275844315,0.3988645647
8,1.0000000000,0.1000000000,1.0130017160,-1.1776056177,1.0586327608,0.8484245220,1.9982189665,-0.6233259431
9,1.0000000000,0.1000000000,6.0009939347,1.5121614947,1.9208950662,-0.2784610138,0.8421560456,1.4523517772
10,1.0000000000,0.1000000000,1.8238294011,1.8678878655,-0.5006832002,0.9681575715,-3.6168195595,-0.4676100371
11,1.0000000000,0.1000000000,6.2161970298,-1.7971310217,1.9955142485,-0.0669381878,-0.2405933875,-1.7931002801
12,1.0000000000,0.1000000000,3.7775026512,-0.6764402357,-1.6090631462,-0.5939098820,-0.8034890812,0.5442175270
13,1.0000000000,0.1000000000,1.3515441585,-1.7014007618,0.4349995101,0.9760603755,3.3213397328,-0.3700542489
14,1.0000000000,0.1000000000,3.0730564470,-0.6092705467,-1.9953046268,0.0684825643,0.0834488188,0.6078401704
15,1.0000000000,0.1000000000,2.5339142153,2.2760995367,-1.6419515101,0.5709630545,-2.5991374879,-1.8686225357
16,1.0000000000,0.1000000000,1.6997063102,0.4140347661,-0.2571064939,0.9917026080,-0.8211987146,-0.0532255135
17,1.0000000000,0.1000000000,5.5370747590,1.3944737646,1.4686690578,-0.6787877427,1.8931033979,1.0240102350
18,1.0000000000,0.1000000000,3.3724704192,0.6987313358,-1.9469318182,-0.2288320864,0.3197842989,-0.6801911351
19,1.0000000000,0.1000000000,1.2469811873,-0.3752245812,0.6363714561,0.9480283975,0.7114471169,-0.1193911065
20,1.0000000000,0.1000000000,5.2532619579,0.5406707026,1.0297691121,-0.8572595254,0.9269902199,0.2783829947
21,1.0000000000,0.1000000000,0.7982348734,-1.6588336785,1.3959436953,0.7161251985,2.3758651944,-1.1578192076
22,1.0000000000,0.1000000000,3.5522004734,0.3019113526,-1.8337567415,-0.3991666985,0.2410259157,-0.2768159891
23,1.0000000000,0.1000000000,1.1230501450,1.1393898908,0.8658699740,0.9014251478,-2.0541494014,0.4932817476
24,1.0000000000,0.1000000000,0.3618968991,-1.0206521681,1.8704538232,0.3540489003,0.7227215554,-0.9545413750
25,1.0000000000,0.1000000000,1.4598023126,1.4285670619,0.2215325059,0.9938464857,-2.8395527083,0.1582370205
26,1.0000000000,0.1000000000,2.6923301440,2.5389180310,-1.8015352807,0.4343013448,-2.2053110302,-2.2869752038
27,1.0000000000,0.1000000000,4.8785277451,-0.1399324013,0.3307510454,-0.9862306710,-0.2760112520,-0.0231413940
28,1.0000000000,0.1000000000,5.7023848181,-1.4808415518,1.6720473896,-0.5486933403,-1.6250557951,-1.2380186255
29,1.0000000000,0.1000000000,4.2028987304,1.1387865014,-0.9754646039,-0.8729932426,1.9883058409,-0.5554229618
30,1.0000000000,0.1000000000,2.2520709560,1.4763825862,-1.2595672597,0.7767706093,-2.2936212022,-0.9298015842
