time,total_energy,conjugate_momentum
0.0000000000,5.785825396925546e+01,7.234580095433678e+00
0.0010000000,5.785825426337723e+01,7.234580137120804e+00
0.0020095044,5.785825456095057e+01,7.234580179114967e+00
0.0030095044,5.785825485554665e+01,7.234580221232576e+00
0.0040072776,5.785825515005756e+01,7.234580264462737e+00
0.0050072776,5.785825545230055e+01,7.234580312188346e+00
0.0060072776,5.785825575403708e+01,7.234580360318651e+00
0.0070072776,5.785825605524386e+01,7.234580408841573e+00
0.0080041027,5.785825635477211e+01,7.234580457335967e+00
0.0090041027,5.785825665591128e+01,7.234580506278816e+00
0.0100054510,5.785825693745518e+01,7.234580548848177e+00
0.0110054510,5.785825716969060e+01,7.234580574673744e+00
0.0120054510,5.785825740030826e+01,7.234580600489656e+00
0.0130094721,5.785825757471697e+01,7.234580597544948e+00
0.0140094721,5.785825767406869e+01,7.234580548624480e+00
0.0150094721,5.785825777163806e+01,7.234580499622044e+00
0.0160094721,5.785825786740883e+01,7.234580450530572e+00
0.0170094721,5.785825796136499e+01,7.234580401342994e+00
0.0180072438,5.785825805368540e+01,7.234580352392605e+00
0.0190072438,5.785825814534969e+01,7.234580303349295e+00
0.0200072438,5.785825823514481e+01,7.234580254186567e+00
0.0210072438,5.785825832305511e+01,7.234580204897140e+00
0.0220072438,5.785825840906467e+01,7.234580155473715e+00
0.0230072438,5.785825849315788e+01,7.234580105908961e+00
0.0240072438,5.785825857531910e+01,7.234580056195448e+00
0.0250072438,5.785825865553286e+01,7.234580006325761e+00
0.0260072438,5.785825873378393e+01,7.234579956292535e+00
0.0270072438,5.785825881005713e+01,7.234579906088269e+00
0.0280082909,5.785825888416928e+01,7.234579855614497e+00
0.0290044037,5.785825895566237e+01,7.234579805151118e+00
0.0300044037,5.785825902559454e+01,7.234579754179817e+00
0.0310044037,5.785825909347739e+01,7.234579703014049e+00
0.0320050050,5.785825079145139e+01,7.234577512970944e+00
0.0330038128,5.785825086055154e+01,7.234577474913710e+00
