id,mass,radius,theta,theta_dot,x,y,vx,vy
1,1.0000000000,0.1000000000,3.2041743751,-0.4509573305,-1.9960848062,-0.0625408796,-0.0564065362,0.4500745378
2,1.0000000000,0.1000000000,1.4802720122,-0.2370526820,0.1808014588,0.9959054715,0.4721641261,-0.0214297354
3,1.0000000000,0.1000000000,4.5597537391,-0.3343807645,-0.3040865219,-0.9883738396,-0.6609864003,0.0508403418
4,1.0000000000,0.1000000000,0.5720511996,-0.1062972896,1.6815846236,0.5413578192,0.1150897377,-0.0893739438
5,1.0000000000,0.1000000000,4.9990077909,0.7908231003,0.5654211852,-0.9592052548,1.5171233469,0.2235740674
6,1.0000000000,0.1000000000,4.3720608124,0.0275702356,-0.6675929121,-0.9426451750,0.0519778990,-0.0092028469
7,1.0000000000,0.1000000000,4.7867328028,0.4330864729,0.1485507166,-0.9972377706,0.8637803774,0.0321676529
8,1.0000000000,0.1000000000,3.5848305194,-1.3669549225,-1.8067355764,-0.4288666917,-1.1724828706,1.2348630450
9,1.0000000000,0.1000000000,2.5324188603,-0.3652165482,-1.6402420900,0.5721900659,0.4179465616,0.2995217772
10,1.0000000000,0.1000000000,2.9179703649,-0.7627321216,-1.9502011160,0.2217631660,0.3382917801,0.7437405173
