time,total_energy,conjugate_momentum
0.0000000000,3.911544548876101e+00,-2.318302992698735e+00
0.1000002519,3.911544634995663e+00,-2.318302953195738e+00
0.2000002519,3.911544736458438e+00,-2.318302923681211e+00
0.3000002519,3.911544847987999e+00,-2.318302902825072e+00
0.4000002087,3.911544965619191e+00,-2.318302886964272e+00
0.5000007368,3.911545073595815e+00,-2.318302865085001e+00
0.6000007368,3.911545149445429e+00,-2.318302824594108e+00
0.7000006491,3.911544987689987e+00,-2.318302645350922e+00
0.8000006491,3.911544385348935e+00,-2.318302209207714e+00
0.9000006491,3.911543319795697e+00,-2.318301505565461e+00
1.0000006491,3.911542242337137e+00,-2.318300805268061e+00
1.1000006491,3.911541604428642e+00,-2.318300385699493e+00
1.2000006490,3.911541317500256e+00,-2.318300221103446e+00
1.3000009010,3.911541122666482e+00,-2.318300240483862e+00
1.4000006759,3.911538304400872e+00,-2.318301235965416e+00
1.5000003942,3.911537854792098e+00,-2.318301598953223e+00
1.6000003942,3.911537683938694e+00,-2.318301796136125e+00
1.7000003569,3.911537675724289e+00,-2.318301893483772e+00
1.8000003569,3.911537746617223e+00,-2.318301942526554e+00
1.9000003569,3.911537854574036e+00,-2.318301969808913e+00
2.0000003569,3.911537979977035e+00,-2.318301987694503e+00
2.1000003569,3.911538113694459e+00,-2.318302001895093e+00
2.2000003569,3.911538251446418e+00,-2.318302015091006e+00
2.3000007218,3.911538391374577e+00,-2.318302028462549e+00
2.4000006554,3.911538532143091e+00,-2.318302043333732e+00
2.5000003740,3.911538673205263e+00,-2.318302059380096e+00
2.6000003740,3.911538811082863e+00,-2.318302074066086e+00
2.7000009151,3.911538941363817e+00,-2.318302084382659e+00
2.8000007400,3.911539052901390e+00,-2.318302083485881e+00
2.9000009109,3.911539119925099e+00,-2.318302055990063e+00
3.0000000345,3.911539079954811e+00,-2.318301968905774e+00
3.1000000346,3.911538800704314e+00,-2.318301744637441e+00
3.2000000346,3.911538082034125e+00,-2.318301268050866e+00
3.3000000346,3.911536956600557e+00,-2.318300563569296e+00
3.4000000346,3.911535968575709e+00,-2.318299960628269e+00
3.5000008825,3.911535646126265e+00,-2.318299825729888e+00
3.6000008676,3.911535532724241e+00,-2.318299918049458e+00
3.7000004657,3.911535363498835e+00,-2.318300127871794e+00
3.8000004657,3.911535016832076e+00,-2.318300487003293e+00
3.9000004657,3.911534399724598e+00,-2.318301031237216e+00
4.0000004657,3.911533634953533e+00,-2.318301668032448e+00
4.1000002808,3.911533049120809e+00,-2.318302178828866e+00
4.2000002820,3.911532805922731e+00,-2.318302455343916e+00
4.3000002820,3.911532851723639e+00,-2.318302530727495e+00
4.4000000360,3.911532944588457e+00,-2.318302559723628e+00
4.5000000360,3.911533059438965e+00,-2.318302553253754e+00
4.6000000360,3.911533170411619e+00,-2.318302533200365e+00
4.7000000295,3.911533272794638e+00,-2.318302498026544e+00
4.8000004734,3.911533363004398e+00,-2.318302446154730e+00
4.9000004337,3.911533438991721e+00,-2.318302376342342e+00
5.0000004337,3.911533501525719e+00,-2.318302292833617e+00
5.1000008731,3.911533524452940e+00,-2.318302185728202e+00
5.2000007022,3.911533488014755e+00,-2.318302048781979e+00
5.3000007022,3.911533314540451e+00,-2.318301839413434e+00
5.4000007022,3.911532834341458e+00,-2.318301458725027e+00
5.5000007023,3.911531884445984e+00,-2.318300809791751e+00
5.6000007023,3.911530737477073e+00,-2.318300051323962e+00
5.7000000784,3.911530415290547e+00,-2.318299778988851e+00
5.8000000784,3.911530365719665e+00,-2.318299673198148e+00
5.9000001280,3.911530394726471e+00,-2.318299641629043e+00
6.0000001281,3.911530389595905e+00,-2.318299685827196e+00
6.1000001281,3.911530279310411e+00,-2.318299815392095e+00
6.2000001281,3.911529947271496e+00,-2.318300091209325e+00
6.3000008214,3.911524881570536e+00,-2.318303305949255e+00
6.4000008214,3.911524477006246e+00,-2.318303618509400e+00
6.5000002772,3.911524327581038e+00,-2.318303773751405e+00
6.6000002772,3.911524324476706e+00,-2.318303843557119e+00
6.7000002772,3.911524394089588e+00,-2.318303875398848e+00
