time,particle_id,theta,theta_dot,x,y,vx,vy,energy
0.0000000000,1,4.4662380793,-0.8710294978,-0.4873453920,-0.9698575242,-1.6895490245,0.2122461060,1.9947282581e+01
0.0000000000,2,3.0023738615,-0.6445813888,-1.9806494125,0.1387695076,0.1788964838,0.6383448745,9.0142488042e+00
0.0000000000,3,0.3362753707,-0.3938139474,1.8879804782,0.3299733754,0.2598962350,-0.3717565224,1.1308112492e-01
0.0000000000,4,2.8122118632,-0.7128182837,-1.8924856254,0.3234571678,0.4611323664,0.6744991778,7.9085355638e+00
0.0000000000,5,1.3114750649,-0.0747241477,0.5128491341,0.9665642459,0.1444513788,-0.0191611072,1.7199668458e+00
0.1000100000,1,4.3783283619,-0.8879648961,-0.6557637266,-0.9447187326,-1.6777541425,0.2911475847,1.9169759245e+01
0.1000100000,2,2.9388037033,-0.6259466187,-1.9590173761,0.2014019116,0.2521336912,0.6131201513,8.6365672063e+00
0.1000100000,3,0.2963425671,-0.4047646784,1.9128218847,0.2920241588,0.2364021295,-0.3871213675,8.7818917100e-02
0.1000100000,4,2.7426805222,-0.6779260278,-1.8429681698,0.3884161187,0.5266347930,0.6246980454,7.5222964469e+00
0.1000100000,5,1.3039963849,-0.0748350921,0.5272919067,0.9646195163,0.1443747806,-0.0197299692,1.7004065720e+00
0.2000000000,1,4.2884360153,-0.9111991690,-0.8227333331,-0.9114699478,-1.6610613180,0.3748369647,1.8390683457e+01
0.2000000000,2,2.8772944260,-0.6039889690,-1.9305521279,0.2612319284,0.3155624062,0.5830160947,8.2788232141e+00
0.2000000000,3,0.2553273521,-0.4155723842,1.9351613416,0.2525621617,0.2099157194,-0.4020998062,6.5192056715e-02
0.2000000000,4,2.6765501814,-0.6452694748,-1.7876050386,0.4484607636,0.5787560828,0.5767434822,7.1639208733e+00
0.2000000000,5,1.2965079320,-0.0749495480,0.5417240029,0.9626181882,0.1442955962,-0.0203009846,1.6809328178e+00
0.3000000000,1,4.1958488533,-0.9419171043,-0.9877492516,-0.8695331242,-1.6380562447,0.4651889574,1.7605147599e+01
0.3000000000,2,2.8180550626,-0.5807156225,-1.8962333459,0.3179225920,0.3692452318,0.5505861639,7.9414343356e+00
0.3000000000,3,0.2132487122,-0.4258840414,1.9546970571,0.2116361352,0.1802649051,-0.4162371412,4.5475013259e-02
0.3000000000,4,2.6135327365,-0.6156009559,-1.7275724455,0.5038584736,0.6203515159,0.5317476244,6.8305533649e+00
0.3000000000,5,1.2890071057,-0.0750675877,0.5561494918,0.9605594389,0.1442137599,-0.0208744004,1.6615393187e+00
0.4000000000,1,4.0997476425,-0.9818179634,-1.1500608531,-0.8181320239,-1.6065134350,0.5645752023,1.6807930732e+01
0.4000000000,2,2.7611461981,-0.5575696545,-1.8569978871,0.3713350398,0.4140902997,0.5177028352,7.6239283275e+00
