id,mass,radius,theta,theta_dot,x,y,vx,vy
1,1.0000000000,0.1000000000,3.3667572324,-1.5882092104,-1.9495147506,-0.2232667895,-0.7091887430,1.5481186414
2,1.0000000000,0.1000000000,2.4621943264,-0.4485481740,-1.5559018113,0.6283250659,0.5636681219,0.3489484582
3,1.0000000000,0.1000000000,6.1841128880,-0.4470811285,1.9901926815,-0.0989104271,-0.0884419707,-0.4448887950
4,1.0000000000,0.1000000000,2.2355216230,-0.4832649543,-1.2336858808,0.7870862639,0.7607424148,0.2980985754
5,1.0000000000,0.1000000000,1.2361451151,-0.0759974362,0.6568795013,0.9445249230,0.1435629451,-0.0249605790
