id,mass,radius,theta,theta_dot,x,y,vx,vy
1,1.0000000000,0.1000000000,4.7089837090,-0.1820998018,-0.0068105297,-0.9999942021,-0.3641974920,0.0006200981
2,1.0000000000,0.1000000000,1.5879199917,-0.3438949877,-0.0342456562,0.9998533936,0.6876891410,0.0058884548
3,1.0000000000,0.1000000000,2.0862303847,-0.3836241421,-0.9858251201,0.8700788517,0.6675665060,0.1890931580
4,1.0000000000,0.1000000000,3.9175271501,-0.9750629406,-1.4275336799,-0.7003833937,-1.3658357827,0.6959675939
5,1.0000000000,0.1000000000,4.5592055767,-0.9045947239,-0.3051700549,-0.9882903467,-1.7880044665,0.1380276108
6,1.0000000000,0.1000000000,5.3774145609,1.6892520733,1.2341585245,-0.7869010002,2.6585482921,1.0424024232
7,1.0000000000,0.1000000000,4.0522449000,-0.6504504336,-1.2264613360,-0.7899038852,-1.0275866492,0.3988761539
8,1.0000000000,0.1000000000,1.0127626270,-1.1777723846,1.0590384284,0.8482979440,1.9982037847,-0.6236531076
9,1.0000000000,0.1000000000,6.0011544655,1.5123501205,1.9209844446,-0.2783068288,0.8417947321,1.4526005281
10,1.0000000000,0.1000000000,1.8250817292,1.8685836523,-0.5031077088,0.9678433026,-3.6169923465,-0.4700494200
11,1.0000000000,0.1000000000,6.2159486466,-1.7971013626,1.9954809343,-0.0671860118,-0.2414801466,-1.7930407530
12,1.0000000000,0.1000000000,3.7774721485,-0.6764599229,-1.6090993772,-0.5938853413,-0.8034792644,0.5442456203
13,1.0000000000,0.1000000000,1.3507797301,-1.7017694213,0.4364916395,0.9758938273,3.3214925474,-0.3714040623
14,1.0000000000,0.1000000000,3.0730519319,-0.6092713776,-1.9953040083,0.0684870688,0.0834544215,0.6078408109
15,1.0000000000,0.1000000000,2.5346083818,2.2773854571,-1.6427438012,0.5703930232,-2.5980095519,-1.8705804213
16,1.0000000000,0.1000000000,1.6997161906,0.4140371446,-0.2571260907,0.9917013378,-0.8212023804,-0.0532298762
17,1.0000000000,0.1000000000,5.5373394416,1.3947561013,1.4690283329,-0.6785933534,1.8929444400,1.0244681152
18,1.0000000000,0.1000000000,3.3724916122,0.6987272915,-1.9469221185,-0.2288527171,0.3198112783,-0.6801838093
19,1.0000000000,0.1000000000,1.2469666352,-0.3752281832,0.6363990477,0.9480237671,0.7114504716,-0.1193974292
20,1.0000000000,0.1000000000,5.2532751462,0.5406766250,1.0297917236,-0.8572527349,0.9269930309,0.2783921568
21,1.0000000000,0.1000000000,0.7978031360,-1.6593590206,1.3965619212,0.7158237912,2.3756173302,-1.1586988109
22,1.0000000000,0.1000000000,3.5522038673,0.3019110134,-1.8337540321,-0.3991698103,0.2410275239,-0.2768152691
23,1.0000000000,0.1000000000,1.1232849932,1.1393498597,0.8654465539,0.9015267969,-2.0543088592,0.4930232049
24,1.0000000000,0.1000000000,0.3618304185,-1.0207123935,1.8705008939,0.3539867250,0.7226372747,-0.9546217222
25,1.0000000000,0.1000000000,1.4603900355,1.4286185374,0.2203642549,0.9939114140,-2.8398405410,0.1574082297
26,1.0000000000,0.1000000000,2.6933007549,2.5409696707,-1.8023775073,0.4334268454,-2.2026489373,-2.2898932906
27,1.0000000000,0.1000000000,4.8785273890,-0.1399324616,0.3307503429,-0.9862307299,-0.2760113875,-0.0231413548
28,1.0000000000,0.1000000000,5.7021675296,-1.4806588310,1.6718089007,-0.5488749857,-1.6253931894,-1.2376893063
29,1.0000000000,0.1000000000,4.2031548757,1.1387200314,-0.9750173457,-0.8731181443,1.9884742413,-0.5551358912
30,1.0000000000,0.1000000000,2.2524102754,1.4767174951,-1.2600943338,0.7765568669,-2.2935102224,-0.9304016741
