time,total_energy,conjugate_momentum
0.0000000000,5.785825396925546e+01,7.234580095433678e+00
0.0010009365,5.785825404889697e+01,7.234580106721758e+00
0.0020015058,5.785825412872295e+01,7.234580117963120e+00
0.0030024423,5.785825420849346e+01,7.234580129366748e+00
0.0040006611,5.785825428837828e+01,7.234580141173727e+00
0.0050015976,5.785825437021958e+01,7.234580154096077e+00
0.0060025341,5.785825445192364e+01,7.234580167128120e+00
0.0070007654,5.785825453326390e+01,7.234580180230997e+00
0.0080012824,5.785825461473494e+01,7.234580193425070e+00
0.0090022189,5.785825469627696e+01,7.234580206677453e+00
0.0100005246,5.785825477168677e+01,7.234580217931681e+00
0.0110014611,5.785825483457261e+01,7.234580224924635e+00
0.0120023977,5.785825489701990e+01,7.234580231914972e+00
0.0130009705,5.785825494992929e+01,7.234580236956132e+00
0.0140019070,5.785825497683507e+01,7.234580223709746e+00
0.0150001383,5.785825500318719e+01,7.234580210477082e+00
0.0160010748,5.785825502912386e+01,7.234580197184426e+00
0.0170020113,5.785825505456852e+01,7.234580183865694e+00
0.0180002991,5.785825507959078e+01,7.234580170592179e+00
0.0190012357,5.785825510441446e+01,7.234580157312509e+00
0.0200021722,5.785825512873151e+01,7.234580144000511e+00
0.0210004035,5.785825515247415e+01,7.234580130690261e+00
0.0220013400,5.785825517576662e+01,7.234580117307736e+00
0.0230022765,5.785825519853955e+01,7.234580103886819e+00
0.0240005078,5.785825522072936e+01,7.234580090461986e+00
0.0250014444,5.785825524245232e+01,7.234580076958633e+00
0.0260023809,5.785825526364322e+01,7.234580063410883e+00
0.0270006122,5.785825528424309e+01,7.234580049853619e+00
0.0280011421,5.785825530429864e+01,7.234580036199604e+00
0.0290014672,5.785825532375371e+01,7.234580022465501e+00
0.0300024037,5.785825534269084e+01,7.234580008663682e+00
0.0310006350,5.785825536102346e+01,7.234579994846706e+00
0.0320025573,5.785824700264764e+01,7.234577830618562e+00
0.0330015750,5.785824702135459e+01,7.234577820310227e+00
0.0340025115,5.785824697879266e+01,7.234577786618505e+00
0.0350016245,5.785824695614042e+01,7.234577762614345e+00
0.0360013836,5.785824693563003e+01,7.234577739733934e+00
0.0370023201,5.785824691435619e+01,7.234577716502685e+00
0.0380005514,5.785824689240366e+01,7.234577693020595e+00
0.0390014880,5.785824686964234e+01,7.234577669155332e+00
0.0400021016,5.785824684600853e+01,7.234577644927699e+00
0.0410003329,5.785824682158148e+01,7.234577620404721e+00
0.0420012695,5.785824679628594e+01,7.234577595475354e+00
0.0430007159,5.785824676987259e+01,7.234577570638971e+00
0.0440016524,5.785824674239408e+01,7.234577545533417e+00
0.0450006586,5.785824671738055e+01,7.234577522079013e+00
0.0460002345,5.785824665818150e+01,7.234577486396256e+00
0.0470011710,5.785824653241662e+01,7.234577410345230e+00
0.0480021075,5.785824640578383e+01,7.234577333933405e+00
0.0490003388,5.785824627865545e+01,7.234577257379709e+00
0.0500012754,5.785824615036992e+01,7.234577180280363e+00
0.0510022119,5.785824602129893e+01,7.234577102854050e+00
0.0520002704,5.785824589185039e+01,7.234577025369600e+00
0.0530012070,5.785824576127921e+01,7.234576947352083e+00
0.0540021435,5.785824563001136e+01,7.234576869043684e+00
0.0550003748,5.785824549843513e+01,7.234576790669641e+00
0.0560013113,5.785824536586928e+01,7.234576711817915e+00
0.0570022478,5.785824523270182e+01,7.234576632713586e+00
0.0580004791,5.785824509932804e+01,7.234576553584508e+00
0.0590014157,5.785824496505872e+01,7.234576474015302e+00
0.0600023522,5.785824483028875e+01,7.234576394233738e+00
0.0610005835,5.785824469541896e+01,7.234576314469980e+00
0.0620015200,5.785824455975396e+01,7.234576234305869e+00
0.0630024565,5.785824442369446e+01,7.234576153971505e+00
0.0640006878,5.785824428764589e+01,7.234576073699108e+00
0.0650016244,5.785824415090791e+01,7.234575993068121e+00
0.0660025609,5.785824401388645e+01,7.234575912310717e+00
0.0670007922,5.785824387699071e+01,7.234575831660527e+00
0.0680017287,5.785824373951685e+01,7.234575750695489e+00
0.0690026652,5.785824360187444e+01,7.234575669649323e+00
0.0700008965,5.785824346447483e+01,7.234575588756707e+00
0.0710018331,5.785824332661299e+01,7.234575507594667e+00
0.0720000644,5.785824318907378e+01,7.234575426617512e+00
0.0730010009,5.785824305115183e+01,7.234575345401975e+00
0.0740019374,5.785824291325973e+01,7.234575264183343e+00
0.0750001687,5.785824277581100e+01,7.234575183197034e+00
0.0760011052,5.785824263810106e+01,7.234575102020054e+00
0.0770024602,5.785824249864381e+01,7.234575020375052e+00
0.0780006915,5.785824235752004e+01,7.234574938398312e+00
0.0790016280,5.785824221616186e+01,7.234574856252707e+00
0.0800025645,5.785824207499180e+01,7.234574774176371e+00
0.0810022356,5.785824193429522e+01,7.234574692334474e+00
0.0820004669,5.785824179385079e+01,7.234574610607247e+00
0.0830014034,5.785824165333263e+01,7.234574528774932e+00
0.0840023399,5.785824151316146e+01,7.234574447074885e+00
0.0850005712,5.785824137375384e+01,7.234574365743161e+00
0.0860015078,5.785824123439347e+01,7.234574284354585e+00
0.0870024443,5.785824109549846e+01,7.234574203145320e+00
0.0880006756,5.785824095748065e+01,7.234574122349802e+00
0.0890016121,5.785824081963096e+01,7.234574041545634e+00
0.0900012821,5.785824068286572e+01,7.234573961221766e+00
0.0910022186,5.785824054643087e+01,7.234573880971476e+00
0.0920004499,5.785824041101454e+01,7.234573801191726e+00
0.0930024046,5.785824029651096e+01,7.234573731326038e+00
0.0940018823,5.785824017704664e+01,7.234573661638617e+00
0.0950001136,5.785824005556263e+01,7.234573591480274e+00
0.0960010501,5.785823993403972e+01,7.234573521265453e+00
0.0970019866,5.785823981283745e+01,7.234573451197484e+00
0.0980017207,5.785823969005626e+01,7.234573380658456e+00
0.0990016742,5.785823952139294e+01,7.234573297926263e+00
0.1000026107,5.785823934447001e+01,7.234573218325357e+00
0.1010017221,5.785823909476596e+01,7.234573115011598e+00
0.1020018708,5.785823884308759e+01,7.234573014040421e+00
0.1030001020,5.785823864895077e+01,7.234572932757357e+00
0.1040010386,5.785823845211956e+01,7.234572850972857e+00
0.1050019751,5.785823825304063e+01,7.234572768887900e+00
0.1060002064,5.785823805218461e+01,7.234572686706670e+00
0.1070011429,5.785823784838494e+01,7.234572603964440e+00
0.1080020795,5.785823764210397e+01,7.234572520863921e+00
0.1090003107,5.785823743383034e+01,7.234572437611675e+00
0.1100014270,5.785823722182801e+01,7.234572354305145e+00
0.1110023635,5.785823700693412e+01,7.234572270710609e+00
0.1120005948,5.785823678980545e+01,7.234572186910051e+00
0.1130015313,5.785823656918337e+01,7.234572102429270e+00
0.1140024679,5.785823634557018e+01,7.234572017474605e+00
0.1150006992,5.785823611949960e+01,7.234571932257430e+00
0.1160016357,5.785823588966315e+01,7.234571846295651e+00
0.1170025722,5.785823565658549e+01,7.234571759799141e+00
0.1180004809,5.785823542269220e+01,7.234571672209010e+00
0.1190014175,5.785823518501365e+01,7.234571583524558e+00
0.1200020292,5.785823494582122e+01,7.234571495003338e+00
0.1210000142,5.785823474629542e+01,7.234571426889166e+00
0.1220014811,5.785823457417305e+01,7.234571372148910e+00
0.1230024176,5.785823439719742e+01,7.234571316438640e+00
0.1240021382,5.785823423284293e+01,7.234571264924137e+00
0.1250003695,5.785823406628602e+01,7.234571213294931e+00
0.1260013060,5.785823389394585e+01,7.234571160425848e+00
0.1270017597,5.785823371583337e+01,7.234571106257865e+00
0.1280022060,5.785823353187185e+01,7.234571050589127e+00
0.1290004373,5.785823334282404e+01,7.234570993807238e+00
0.1300013738,5.785823314762779e+01,7.234570935704380e+00
0.1310023103,5.785823294671676e+01,7.234570876417555e+00
0.1320012166,5.785823274062914e+01,7.234570815931805e+00
0.1330021531,5.785823252818418e+01,7.234570754090275e+00
0.1340003844,5.785823231041292e+01,7.234570691193249e+00
0.1350013209,5.785823208606717e+01,7.234570626885820e+00
0.1360022574,5.785823185566275e+01,7.234570561323016e+00
0.1370004887,5.785823161978121e+01,7.234570494673995e+00
0.1380014253,5.785823137708004e+01,7.234570426564621e+00
0.1390023618,5.785823112812719e+01,7.234570357161386e+00
0.1400004114,5.785823087359625e+01,7.234570286560654e+00
0.1410013479,5.785823061190167e+01,7.234570214434692e+00
0.1420022845,5.785823034377459e+01,7.234570140980257e+00
0.1430005158,5.785823006990923e+01,7.234570066390788e+00
0.1440014523,5.785822978876592e+01,7.234569990252299e+00
0.1450023888,5.785822950102516e+01,7.234569912756053e+00
0.1460021999,5.785822920851286e+01,7.234569831791713e+00
0.1470004312,5.785822889840915e+01,7.234569758308447e+00
0.1480019247,5.785822858073480e+01,7.234569683159009e+00
0.1490001560,5.785822825722909e+01,7.234569606808431e+00
0.1500010926,5.785822792605861e+01,7.234569528836484e+00
0.1510018794,5.785822758814198e+01,7.234569449455980e+00
0.1520001107,5.785822724417064e+01,7.234569368807980e+00
0.1530010940,5.785822689234156e+01,7.234569286635761e+00
0.1540020305,5.785822653262738e+01,7.234569203774430e+00
0.1550016220,5.785822616665560e+01,7.234569119597839e+00
0.1560025585,5.785822579283339e+01,7.234569033718844e+00
0.1570007898,5.785822541303843e+01,7.234568946642738e+00
0.1580017263,5.785822502519458e+01,7.234568857898426e+00
0.1590026629,5.785822463030811e+01,7.234568767721874e+00
0.1600008942,5.785822422946430e+01,7.234568676365549e+00
0.1610018307,5.785822382048386e+01,7.234568583338393e+00
0.1620000620,5.785822340557475e+01,7.234568489148511e+00
0.1630009985,5.785822298248871e+01,7.234568393291761e+00
0.1640019350,5.785822255234578e+01,7.234568296029177e+00
0.1650001663,5.785822211634565e+01,7.234568197638026e+00
0.1660011029,5.785822167213826e+01,7.234568097595178e+00
0.1670020454,5.785822140924432e+01,7.234573361894385e+00
0.1680011717,5.785822080227035e+01,7.234573213439418e+00
0.1690015082,5.785822015498948e+01,7.234573077781000e+00
0.1700002579,5.785821946554220e+01,7.234572956207411e+00
0.1710020989,5.785821866032067e+01,7.234572869855183e+00
0.1720003302,5.785821777581343e+01,7.234572808914580e+00
0.1730012667,5.785821688794008e+01,7.234572749905199e+00
0.1740022033,5.785821599925987e+01,7.234572693044874e+00
0.1750004346,5.785821511233894e+01,7.234572638526442e+00
0.1760013711,5.785821422252940e+01,7.234572586101022e+00
0.1770023076,5.785821333239195e+01,7.234572535964392e+00
0.1780019053,5.785821243956688e+01,7.234572486014106e+00
0.1790015959,5.785821162068892e+01,7.234572459611811e+00
0.1800025325,5.785821105218538e+01,7.234572503567128e+00
0.1810015445,5.785821048230517e+01,7.234572547857292e+00
0.1820003060,5.785820990498991e+01,7.234572590427291e+00
0.1830012426,5.785820932757151e+01,7.234572635814844e+00
0.1840021791,5.785820875150124e+01,7.234572683893224e+00
0.1850004104,5.785820817828111e+01,7.234572734500187e+00
0.1860013469,5.785820760475598e+01,7.234572787887528e+00
0.1870022835,5.785820703243466e+01,7.234572843898409e+00
0.1880005147,5.785820646281458e+01,7.234572902346772e+00
0.1890014513,5.785820589276563e+01,7.234572963524355e+00
0.1900023878,5.785820532379216e+01,7.234573027250284e+00
0.1910006191,5.785820475738916e+01,7.234573093315308e+00
0.1920015556,5.785820419045024e+01,7.234573162050125e+00
0.1930024921,5.785820362447753e+01,7.234573233250456e+00
0.1940007234,5.785820306096510e+01,7.234573306684710e+00
0.1950016600,5.785820249682947e+01,7.234573382720860e+00
0.1960025965,5.785820193357233e+01,7.234573461132237e+00
0.1970008278,5.785820137268799e+01,7.234573541665657e+00
0.1980002845,5.785820081234306e+01,7.234573624558770e+00
0.1990012210,5.785820025163476e+01,7.234573709925363e+00
0.2000021575,5.785819969172572e+01,7.234573797535758e+00
0.2010006684,5.785819913366576e+01,7.234573888404383e+00
0.2020006717,5.785819854327649e+01,7.234573963385380e+00
0.2030016082,5.785819795115560e+01,7.234574039689567e+00
0.2040025447,5.785819735967561e+01,7.234574118032841e+00
0.2050007760,5.785819677043438e+01,7.234574198159086e+00
0.2060017125,5.785819618024345e+01,7.234574280465794e+00
0.2070026491,5.785819559070865e+01,7.234574364700829e+00
0.2080008804,5.785819500343195e+01,7.234574450590777e+00
0.2090018169,5.785819441524445e+01,7.234574538562310e+00
0.2100000482,5.785819382934292e+01,7.234574628100646e+00
0.2110009847,5.785819324257229e+01,7.234574719651184e+00
0.2120019212,5.785819265654494e+01,7.234574812932938e+00
0.2130001525,5.785819207286797e+01,7.234574907645830e+00
0.2140010891,5.785819148840766e+01,7.234575004261556e+00
0.2150020256,5.785819090477914e+01,7.234575102483450e+00
0.2160002569,5.785819032359189e+01,7.234575201997117e+00
0.2170010340,5.785818977516139e+01,7.234575292100421e+00
0.2180019706,5.785818925375461e+01,7.234575370792352e+00
0.2190011269,5.785818873842482e+01,7.234575450137556e+00
0.2200020635,5.785818821724614e+01,7.234575534137566e+00
0.2210006164,5.785818770468141e+01,7.234575617795293e+00
0.2220015530,5.785818719797465e+01,7.234575701589898e+00
0.2230024895,5.785818669849586e+01,7.234575785283413e+00
0.2240007208,5.785818620754279e+01,7.234575868629741e+00
0.2250016573,5.785818572242961e+01,7.234575952061165e+00
0.2260003053,5.785818524565520e+01,7.234576034783970e+00
0.2270012419,5.785818477474493e+01,7.234576117665876e+00
0.2280021784,5.785818431092680e+01,7.234576200353604e+00
0.2290004097,5.785818385539281e+01,7.234576282608495e+00
0.2300023407,5.785818339189583e+01,7.234576367774020e+00
