time,total_energy,angular_momentum
0.0000000000,4.446847168746039e+00,2.025771629490144e+00
0.0100100000,4.446847112904044e+00,2.059379784724652e+00
0.0200100000,4.446847061003387e+00,2.092913763912524e+00
0.0300100000,4.446847012850127e+00,2.126391139603858e+00
0.0400000000,4.446846968352894e+00,2.159762998794389e+00
0.0500000000,4.446846927292682e+00,2.193081124450862e+00
0.0600000000,4.446846889591614e+00,2.226297579224992e+00
0.0700000000,4.446846855132962e+00,2.259398451333038e+00
0.0800000000,4.446846823808975e+00,2.292370442414358e+00
0.0900100000,4.446846795495203e+00,2.325233651829218e+00
0.1000100000,4.446846770161329e+00,2.357910420901102e+00
0.1100100000,4.446846747702226e+00,2.390422355978165e+00
0.1200100000,4.446846728054302e+00,2.422758870715813e+00
0.1300100000,4.446846711166008e+00,2.454910106034005e+00
0.1400100000,4.446846696997612e+00,2.486866943787842e+00
0.1500000000,4.446846685530893e+00,2.518589367104480e+00
0.1600000000,4.446846676725555e+00,2.550133282426826e+00
0.1700000000,4.446846670587250e+00,2.581459987125558e+00
0.1800000000,4.446846667118141e+00,2.612563399142381e+00
0.1900000000,4.446846666328619e+00,2.643438197571083e+00
0.2000000000,4.446846668236319e+00,2.674079816796457e+00
0.2100000000,4.446846672864758e+00,2.704484437325877e+00
0.2200081969,4.446846680127988e+00,2.949987366342421e+00
0.2300081969,4.446846689956515e+00,2.980560385156690e+00
0.2400081969,4.446846702415168e+00,3.010904066233376e+00
0.2500081969,4.446846717529543e+00,3.041017428709920e+00
0.2600081969,4.446846735323625e+00,3.070900128362972e+00
0.2700081969,4.446846755818679e+00,3.100552429929743e+00
0.2800081969,4.446846779031818e+00,3.129975177070134e+00
0.2900081969,4.446846804975054e+00,3.159169760233192e+00
0.3000081969,4.446846833654301e+00,3.188138082710869e+00
0.3100081969,4.446846865068447e+00,3.216882525168600e+00
0.3200081969,4.446846899208510e+00,3.245405908948964e+00
0.3300081969,4.446846936057068e+00,3.273711458441829e+00
0.3400081969,4.446846975587548e+00,3.301802762806926e+00
0.3500081969,4.446847017763780e+00,3.329683737320274e+00
0.3600081969,4.446847062539582e+00,3.357358584599139e+00
0.3700081969,4.446847109858624e+00,3.384831755935987e+00
0.3800081969,4.446847159653855e+00,3.412107912945970e+00
0.3900081969,4.446847211847461e+00,3.439191889703344e+00
0.4000081969,4.446847266350880e+00,3.466088655511536e+00
0.4100081969,4.446847323064493e+00,3.492803278417205e+00
0.4200081969,4.446847381877386e+00,3.519340889548682e+00
0.4300081969,4.446847442667617e+00,3.545706648322591e+00
0.4400081969,4.446847505301982e+00,3.571905708533084e+00
0.4500059699,4.446847569460251e+00,3.498060624128720e+00
0.4600059699,4.446847635154823e+00,3.523888089465191e+00
0.4700059699,4.446847702217759e+00,3.549565513275331e+00
0.4800059699,4.446847770468684e+00,3.575097726306196e+00
0.4900032218,4.446847836991171e+00,3.952610146104625e+00
0.5000032218,4.446847876005749e+00,3.979268809408067e+00
0.5100032218,4.446847912066726e+00,4.005758100551827e+00
0.5200032218,4.446847944678104e+00,4.032078157465783e+00
0.5300032218,4.446847973303478e+00,4.058228365950871e+00
0.5400032218,4.446847997363011e+00,4.084207291652588e+00
0.5500032218,4.446848016230376e+00,4.110012607952114e+00
0.5600032218,4.446848029229015e+00,4.135641019345043e+00
0.5700032218,4.446848035628755e+00,4.161088179884612e+00
0.5800032218,4.446848034641491e+00,4.186348606284144e+00
0.5900032218,4.446848025417083e+00,4.211415585303901e+00
