id,mass,radius,theta,theta_dot,x,y,vx,vy
1,1.0000000000,0.1000000000,3.3823706790,0.9947090549,-1.9423054844,-0.2384582800,0.4743932207,-0.9660144264
2,1.0000000000,0.1000000000,0.1730507161,-0.8592736379,1.9701281081,0.1721882964,0.2959137277,-0.8464395733
3,1.0000000000,0.1000000000,0.7279490129,0.8110871244,1.4930811502,0.6653398904,-1.0792972369,0.6055094483
4,1.0000000000,0.1000000000,2.3205697893,0.2548477826,-1.3629459752,0.7318432668,-0.3730172676,-0.1736718798
5,1.0000000000,0.1000000000,3.1218470682,-0.3604900911,-1.9996101245,0.0197443023,0.0142352507,0.3604198180
6,1.0000000000,0.1000000000,4.0273360341,0.8534520510,-1.2654280265,-0.7743855483,1.3218018689,-0.5399910723
7,1.0000000000,0.1000000000,2.6799890072,-0.2428977830,-1.7906788197,0.4453844869,0.2163658088,0.2174759577
8,1.0000000000,0.1000000000,5.2690272092,0.2113238361,1.0566698478,-0.8490360465,0.3588431086,0.1116497629
9,1.0000000000,0.1000000000,4.4956547570,-0.8504507763,-0.4300828039,-0.9766049331,-1.6611088471,0.1828821272
10,1.0000000000,0.1000000000,0.3887229478,0.1534189189,1.8507876519,0.3790069483,-0.1162936725,0.1419729203
