eccentricity,N,a,b,perimeter,radius,phi_intrinsic
0.0,20,0.7978845608028653,0.7978845608028654,5.0132565492620005,0.037599424119465,0.3
0.0,40,0.7978845608028653,0.7978845608028654,5.0132565492620005,0.0187997120597325,0.3
0.0,60,0.7978845608028653,0.7978845608028654,5.0132565492620005,0.012533141373155001,0.3
0.0,80,0.7978845608028653,0.7978845608028654,5.0132565492620005,0.00939985602986625,0.3
0.3,20,0.836410286544171,0.7611333607551959,5.02161764328882,0.037662132324666156,0.3
0.3,40,0.836410286544171,0.7611333607551959,5.02161764328882,0.018831066162333078,0.3
0.3,60,0.836410286544171,0.7611333607551959,5.02161764328882,0.012554044108222051,0.3
0.3,80,0.836410286544171,0.7611333607551959,5.02161764328882,0.009415533081166539,0.3
0.5,20,0.9213177319235611,0.690988298942671,5.091084816273349,0.03818313612205011,0.3
0.5,40,0.9213177319235611,0.690988298942671,5.091084816273349,0.019091568061025056,0.3
0.5,60,0.9213177319235611,0.690988298942671,5.091084816273349,0.012727712040683372,0.3
0.5,80,0.9213177319235611,0.690988298942671,5.091084816273349,0.009545784030512528,0.3
0.7,20,1.117261859845688,0.5698035485213009,5.4405433832433285,0.04080407537432496,0.3
0.7,40,1.117261859845688,0.5698035485213009,5.4405433832433285,0.02040203768716248,0.3
0.7,60,1.117261859845688,0.5698035485213009,5.4405433832433285,0.01360135845810832,0.3
0.7,80,1.117261859845688,0.5698035485213009,5.4405433832433285,0.01020101884358124,0.3
0.8,20,1.329807601338109,0.47873073648171915,6.000866138390961,0.045006496037932206,0.3
0.8,40,1.329807601338109,0.47873073648171915,6.000866138390961,0.022503248018966103,0.3
0.8,60,1.329807601338109,0.47873073648171915,6.000866138390961,0.015002165345977403,0.3
0.8,80,1.329807601338109,0.47873073648171915,6.000866138390961,0.011251624009483051,0.3
0.9,20,1.8304727206058025,0.34778981691510236,7.662087546646947,0.0574656565998521,0.3
0.9,40,1.8304727206058025,0.34778981691510236,7.662087546646947,0.02873282829992605,0.3
0.9,60,1.8304727206058025,0.34778981691510236,7.662087546646947,0.019155218866617366,0.3
0.9,80,1.8304727206058025,0.34778981691510236,7.662087546646947,0.014366414149963026,0.3
