run_id,N,e,a,b,seed,max_time,dt_max,dt_min,save_interval
62,80,0.7,2.0,1.42828568570857,2,500.0,1.0e-5,1.0e-10,2.5
63,80,0.7,2.0,1.42828568570857,3,500.0,1.0e-5,1.0e-10,2.5
64,80,0.7,2.0,1.42828568570857,4,500.0,1.0e-5,1.0e-10,2.5
65,80,0.7,2.0,1.42828568570857,5,500.0,1.0e-5,1.0e-10,2.5
66,80,0.7,2.0,1.42828568570857,6,500.0,1.0e-5,1.0e-10,2.5
67,80,0.7,2.0,1.42828568570857,7,500.0,1.0e-5,1.0e-10,2.5
68,80,0.7,2.0,1.42828568570857,8,500.0,1.0e-5,1.0e-10,2.5
69,80,0.7,2.0,1.42828568570857,9,500.0,1.0e-5,1.0e-10,2.5
70,80,0.7,2.0,1.42828568570857,10,500.0,1.0e-5,1.0e-10,2.5
71,80,0.8,2.0,1.1999999999999997,1,500.0,1.0e-5,1.0e-10,2.5
72,80,0.8,2.0,1.1999999999999997,2,500.0,1.0e-5,1.0e-10,2.5
73,80,0.8,2.0,1.1999999999999997,3,500.0,1.0e-5,1.0e-10,2.5
74,80,0.8,2.0,1.1999999999999997,4,500.0,1.0e-5,1.0e-10,2.5
75,80,0.8,2.0,1.1999999999999997,5,500.0,1.0e-5,1.0e-10,2.5
76,80,0.8,2.0,1.1999999999999997,6,500.0,1.0e-5,1.0e-10,2.5
77,80,0.8,2.0,1.1999999999999997,7,500.0,1.0e-5,1.0e-10,2.5
78,80,0.8,2.0,1.1999999999999997,8,500.0,1.0e-5,1.0e-10,2.5
79,80,0.8,2.0,1.1999999999999997,9,500.0,1.0e-5,1.0e-10,2.5
80,80,0.8,2.0,1.1999999999999997,10,500.0,1.0e-5,1.0e-10,2.5
81,80,0.9,2.0,0.8717797887081346,1,500.0,1.0e-5,1.0e-10,2.5
82,80,0.9,2.0,0.8717797887081346,2,500.0,1.0e-5,1.0e-10,2.5
83,80,0.9,2.0,0.8717797887081346,3,500.0,1.0e-5,1.0e-10,2.5
84,80,0.9,2.0,0.8717797887081346,4,500.0,1.0e-5,1.0e-10,2.5
85,80,0.9,2.0,0.8717797887081346,5,500.0,1.0e-5,1.0e-10,2.5
86,80,0.9,2.0,0.8717797887081346,6,500.0,1.0e-5,1.0e-10,2.5
87,80,0.9,2.0,0.8717797887081346,7,500.0,1.0e-5,1.0e-10,2.5
88,80,0.9,2.0,0.8717797887081346,8,500.0,1.0e-5,1.0e-10,2.5
89,80,0.9,2.0,0.8717797887081346,9,500.0,1.0e-5,1.0e-10,2.5
90,80,0.9,2.0,0.8717797887081346,10,500.0,1.0e-5,1.0e-10,2.5
