run_id,N,e,a,seed,max_time,dt_max,dt_min,save_interval,N_max_ref
1,30,0.5,2.0,1,100.0,1.0e-5,1.0e-10,0.5,100
2,30,0.5,2.0,2,100.0,1.0e-5,1.0e-10,0.5,100
3,30,0.5,2.0,3,100.0,1.0e-5,1.0e-10,0.5,100
4,30,0.5,2.0,4,100.0,1.0e-5,1.0e-10,0.5,100
5,30,0.5,2.0,5,100.0,1.0e-5,1.0e-10,0.5,100
6,30,0.5,2.0,6,100.0,1.0e-5,1.0e-10,0.5,100
7,30,0.5,2.0,7,100.0,1.0e-5,1.0e-10,0.5,100
8,30,0.5,2.0,8,100.0,1.0e-5,1.0e-10,0.5,100
9,30,0.5,2.0,9,100.0,1.0e-5,1.0e-10,0.5,100
10,30,0.5,2.0,10,100.0,1.0e-5,1.0e-10,0.5,100
11,40,0.5,2.0,1,100.0,1.0e-5,1.0e-10,0.5,100
12,40,0.5,2.0,2,100.0,1.0e-5,1.0e-10,0.5,100
13,40,0.5,2.0,3,100.0,1.0e-5,1.0e-10,0.5,100
14,40,0.5,2.0,4,100.0,1.0e-5,1.0e-10,0.5,100
15,40,0.5,2.0,5,100.0,1.0e-5,1.0e-10,0.5,100
16,40,0.5,2.0,6,100.0,1.0e-5,1.0e-10,0.5,100
17,40,0.5,2.0,7,100.0,1.0e-5,1.0e-10,0.5,100
18,40,0.5,2.0,8,100.0,1.0e-5,1.0e-10,0.5,100
19,40,0.5,2.0,9,100.0,1.0e-5,1.0e-10,0.5,100
20,40,0.5,2.0,10,100.0,1.0e-5,1.0e-10,0.5,100
21,50,0.5,2.0,1,100.0,1.0e-5,1.0e-10,0.5,100
22,50,0.5,2.0,2,100.0,1.0e-5,1.0e-10,0.5,100
23,50,0.5,2.0,3,100.0,1.0e-5,1.0e-10,0.5,100
24,50,0.5,2.0,4,100.0,1.0e-5,1.0e-10,0.5,100
25,50,0.5,2.0,5,100.0,1.0e-5,1.0e-10,0.5,100
26,50,0.5,2.0,6,100.0,1.0e-5,1.0e-10,0.5,100
27,50,0.5,2.0,7,100.0,1.0e-5,1.0e-10,0.5,100
28,50,0.5,2.0,8,100.0,1.0e-5,1.0e-10,0.5,100
29,50,0.5,2.0,9,100.0,1.0e-5,1.0e-10,0.5,100
30,50,0.5,2.0,10,100.0,1.0e-5,1.0e-10,0.5,100
31,60,0.5,2.0,1,100.0,1.0e-5,1.0e-10,0.5,100
32,60,0.5,2.0,2,100.0,1.0e-5,1.0e-10,0.5,100
33,60,0.5,2.0,3,100.0,1.0e-5,1.0e-10,0.5,100
34,60,0.5,2.0,4,100.0,1.0e-5,1.0e-10,0.5,100
35,60,0.5,2.0,5,100.0,1.0e-5,1.0e-10,0.5,100
36,60,0.5,2.0,6,100.0,1.0e-5,1.0e-10,0.5,100
37,60,0.5,2.0,7,100.0,1.0e-5,1.0e-10,0.5,100
38,60,0.5,2.0,8,100.0,1.0e-5,1.0e-10,0.5,100
39,60,0.5,2.0,9,100.0,1.0e-5,1.0e-10,0.5,100
40,60,0.5,2.0,10,100.0,1.0e-5,1.0e-10,0.5,100
