run_id,N,eccentricity,seed,a,b,radius,perimeter,phi_intrinsic,t_max,save_interval,use_projection,mass,max_speed
1,20,0.0,1,0.7978845608028653,0.7978845608028654,0.01671085516420667,5.0132565492620005,0.13333333333333336,120.0,0.5,true,1.0,1.0
2,40,0.0,1,0.7978845608028653,0.7978845608028654,0.01671085516420667,5.0132565492620005,0.2666666666666667,120.0,0.5,true,1.0,1.0
3,60,0.0,1,0.7978845608028653,0.7978845608028654,0.01671085516420667,5.0132565492620005,0.4,120.0,0.5,true,1.0,1.0
4,80,0.0,1,0.7978845608028653,0.7978845608028654,0.01671085516420667,5.0132565492620005,0.5333333333333334,120.0,0.5,true,1.0,1.0
5,20,0.3,1,0.836410286544171,0.7611333607551959,0.0167387254776294,5.02161764328882,0.13333333333333333,120.0,0.5,true,1.0,1.0
6,40,0.3,1,0.836410286544171,0.7611333607551959,0.0167387254776294,5.02161764328882,0.26666666666666666,120.0,0.5,true,1.0,1.0
7,60,0.3,1,0.836410286544171,0.7611333607551959,0.0167387254776294,5.02161764328882,0.4,120.0,0.5,true,1.0,1.0
8,80,0.3,1,0.836410286544171,0.7611333607551959,0.0167387254776294,5.02161764328882,0.5333333333333333,120.0,0.5,true,1.0,1.0
9,20,0.5,1,0.9213177319235611,0.690988298942671,0.016970282720911164,5.091084816273349,0.13333333333333336,120.0,0.5,true,1.0,1.0
10,40,0.5,1,0.9213177319235611,0.690988298942671,0.016970282720911164,5.091084816273349,0.2666666666666667,120.0,0.5,true,1.0,1.0
11,60,0.5,1,0.9213177319235611,0.690988298942671,0.016970282720911164,5.091084816273349,0.4,120.0,0.5,true,1.0,1.0
12,80,0.5,1,0.9213177319235611,0.690988298942671,0.016970282720911164,5.091084816273349,0.5333333333333334,120.0,0.5,true,1.0,1.0
13,20,0.7,1,1.117261859845688,0.5698035485213009,0.018135144610811095,5.4405433832433285,0.13333333333333333,120.0,0.5,true,1.0,1.0
14,40,0.7,1,1.117261859845688,0.5698035485213009,0.018135144610811095,5.4405433832433285,0.26666666666666666,120.0,0.5,true,1.0,1.0
15,60,0.7,1,1.117261859845688,0.5698035485213009,0.018135144610811095,5.4405433832433285,0.39999999999999997,120.0,0.5,true,1.0,1.0
16,80,0.7,1,1.117261859845688,0.5698035485213009,0.018135144610811095,5.4405433832433285,0.5333333333333333,120.0,0.5,true,1.0,1.0
17,20,0.8,1,1.329807601338109,0.47873073648171915,0.02000288712796987,6.000866138390961,0.13333333333333333,120.0,0.5,true,1.0,1.0
18,40,0.8,1,1.329807601338109,0.47873073648171915,0.02000288712796987,6.000866138390961,0.26666666666666666,120.0,0.5,true,1.0,1.0
19,60,0.8,1,1.329807601338109,0.47873073648171915,0.02000288712796987,6.000866138390961,0.4,120.0,0.5,true,1.0,1.0
20,80,0.8,1,1.329807601338109,0.47873073648171915,0.02000288712796987,6.000866138390961,0.5333333333333333,120.0,0.5,true,1.0,1.0
21,20,0.9,1,1.8304727206058025,0.34778981691510236,0.02554029182215649,7.662087546646947,0.13333333333333333,120.0,0.5,true,1.0,1.0
22,40,0.9,1,1.8304727206058025,0.34778981691510236,0.02554029182215649,7.662087546646947,0.26666666666666666,120.0,0.5,true,1.0,1.0
23,60,0.9,1,1.8304727206058025,0.34778981691510236,0.02554029182215649,7.662087546646947,0.39999999999999997,120.0,0.5,true,1.0,1.0
24,80,0.9,1,1.8304727206058025,0.34778981691510236,0.02554029182215649,7.662087546646947,0.5333333333333333,120.0,0.5,true,1.0,1.0
25,20,0.0,2,0.7978845608028653,0.7978845608028654,0.01671085516420667,5.0132565492620005,0.13333333333333336,120.0,0.5,true,1.0,1.0
26,40,0.0,2,0.7978845608028653,0.7978845608028654,0.01671085516420667,5.0132565492620005,0.2666666666666667,120.0,0.5,true,1.0,1.0
27,60,0.0,2,0.7978845608028653,0.7978845608028654,0.01671085516420667,5.0132565492620005,0.4,120.0,0.5,true,1.0,1.0
28,80,0.0,2,0.7978845608028653,0.7978845608028654,0.01671085516420667,5.0132565492620005,0.5333333333333334,120.0,0.5,true,1.0,1.0
29,20,0.3,2,0.836410286544171,0.7611333607551959,0.0167387254776294,5.02161764328882,0.13333333333333333,120.0,0.5,true,1.0,1.0
30,40,0.3,2,0.836410286544171,0.7611333607551959,0.0167387254776294,5.02161764328882,0.26666666666666666,120.0,0.5,true,1.0,1.0
31,60,0.3,2,0.836410286544171,0.7611333607551959,0.0167387254776294,5.02161764328882,0.4,120.0,0.5,true,1.0,1.0
32,80,0.3,2,0.836410286544171,0.7611333607551959,0.0167387254776294,5.02161764328882,0.5333333333333333,120.0,0.5,true,1.0,1.0
33,20,0.5,2,0.9213177319235611,0.690988298942671,0.016970282720911164,5.091084816273349,0.13333333333333336,120.0,0.5,true,1.0,1.0
34,40,0.5,2,0.9213177319235611,0.690988298942671,0.016970282720911164,5.091084816273349,0.2666666666666667,120.0,0.5,true,1.0,1.0
35,60,0.5,2,0.9213177319235611,0.690988298942671,0.016970282720911164,5.091084816273349,0.4,120.0,0.5,true,1.0,1.0
36,80,0.5,2,0.9213177319235611,0.690988298942671,0.016970282720911164,5.091084816273349,0.5333333333333334,120.0,0.5,true,1.0,1.0
37,20,0.7,2,1.117261859845688,0.5698035485213009,0.018135144610811095,5.4405433832433285,0.13333333333333333,120.0,0.5,true,1.0,1.0
38,40,0.7,2,1.117261859845688,0.5698035485213009,0.018135144610811095,5.4405433832433285,0.26666666666666666,120.0,0.5,true,1.0,1.0
