run_id,N,e,a,seed,max_time,dt_max,dt_min,save_interval,N_max_ref
1,50,0.5,2.0,1,100.0,1.0e-5,1.0e-10,0.5,100
2,50,0.5,2.0,2,100.0,1.0e-5,1.0e-10,0.5,100
3,50,0.5,2.0,3,100.0,1.0e-5,1.0e-10,0.5,100
4,50,0.5,2.0,4,100.0,1.0e-5,1.0e-10,0.5,100
5,50,0.5,2.0,5,100.0,1.0e-5,1.0e-10,0.5,100
6,50,0.5,2.0,6,100.0,1.0e-5,1.0e-10,0.5,100
7,50,0.5,2.0,7,100.0,1.0e-5,1.0e-10,0.5,100
8,50,0.5,2.0,8,100.0,1.0e-5,1.0e-10,0.5,100
9,50,0.5,2.0,9,100.0,1.0e-5,1.0e-10,0.5,100
10,50,0.5,2.0,10,100.0,1.0e-5,1.0e-10,0.5,100
11,60,0.5,2.0,1,100.0,1.0e-5,1.0e-10,0.5,100
12,60,0.5,2.0,2,100.0,1.0e-5,1.0e-10,0.5,100
13,60,0.5,2.0,3,100.0,1.0e-5,1.0e-10,0.5,100
14,60,0.5,2.0,4,100.0,1.0e-5,1.0e-10,0.5,100
15,60,0.5,2.0,5,100.0,1.0e-5,1.0e-10,0.5,100
16,60,0.5,2.0,6,100.0,1.0e-5,1.0e-10,0.5,100
17,60,0.5,2.0,7,100.0,1.0e-5,1.0e-10,0.5,100
18,60,0.5,2.0,8,100.0,1.0e-5,1.0e-10,0.5,100
19,60,0.5,2.0,9,100.0,1.0e-5,1.0e-10,0.5,100
20,60,0.5,2.0,10,100.0,1.0e-5,1.0e-10,0.5,100
21,70,0.5,2.0,1,100.0,1.0e-5,1.0e-10,0.5,100
22,70,0.5,2.0,2,100.0,1.0e-5,1.0e-10,0.5,100
23,70,0.5,2.0,3,100.0,1.0e-5,1.0e-10,0.5,100
24,70,0.5,2.0,4,100.0,1.0e-5,1.0e-10,0.5,100
25,70,0.5,2.0,5,100.0,1.0e-5,1.0e-10,0.5,100
26,70,0.5,2.0,6,100.0,1.0e-5,1.0e-10,0.5,100
27,70,0.5,2.0,7,100.0,1.0e-5,1.0e-10,0.5,100
28,70,0.5,2.0,8,100.0,1.0e-5,1.0e-10,0.5,100
29,70,0.5,2.0,9,100.0,1.0e-5,1.0e-10,0.5,100
30,70,0.5,2.0,10,100.0,1.0e-5,1.0e-10,0.5,100
31,80,0.5,2.0,1,100.0,1.0e-5,1.0e-10,0.5,100
32,80,0.5,2.0,2,100.0,1.0e-5,1.0e-10,0.5,100
33,80,0.5,2.0,3,100.0,1.0e-5,1.0e-10,0.5,100
34,80,0.5,2.0,4,100.0,1.0e-5,1.0e-10,0.5,100
35,80,0.5,2.0,5,100.0,1.0e-5,1.0e-10,0.5,100
36,80,0.5,2.0,6,100.0,1.0e-5,1.0e-10,0.5,100
37,80,0.5,2.0,7,100.0,1.0e-5,1.0e-10,0.5,100
38,80,0.5,2.0,8,100.0,1.0e-5,1.0e-10,0.5,100
39,80,0.5,2.0,9,100.0,1.0e-5,1.0e-10,0.5,100
40,80,0.5,2.0,10,100.0,1.0e-5,1.0e-10,0.5,100
41,50,0.7,2.0,1,100.0,1.0e-5,1.0e-10,0.5,100
42,50,0.7,2.0,2,100.0,1.0e-5,1.0e-10,0.5,100
43,50,0.7,2.0,3,100.0,1.0e-5,1.0e-10,0.5,100
44,50,0.7,2.0,4,100.0,1.0e-5,1.0e-10,0.5,100
45,50,0.7,2.0,5,100.0,1.0e-5,1.0e-10,0.5,100
46,50,0.7,2.0,6,100.0,1.0e-5,1.0e-10,0.5,100
47,50,0.7,2.0,7,100.0,1.0e-5,1.0e-10,0.5,100
48,50,0.7,2.0,8,100.0,1.0e-5,1.0e-10,0.5,100
49,50,0.7,2.0,9,100.0,1.0e-5,1.0e-10,0.5,100
50,50,0.7,2.0,10,100.0,1.0e-5,1.0e-10,0.5,100
51,60,0.7,2.0,1,100.0,1.0e-5,1.0e-10,0.5,100
52,60,0.7,2.0,2,100.0,1.0e-5,1.0e-10,0.5,100
53,60,0.7,2.0,3,100.0,1.0e-5,1.0e-10,0.5,100
54,60,0.7,2.0,4,100.0,1.0e-5,1.0e-10,0.5,100
55,60,0.7,2.0,5,100.0,1.0e-5,1.0e-10,0.5,100
56,60,0.7,2.0,6,100.0,1.0e-5,1.0e-10,0.5,100
57,60,0.7,2.0,7,100.0,1.0e-5,1.0e-10,0.5,100
58,60,0.7,2.0,8,100.0,1.0e-5,1.0e-10,0.5,100
59,60,0.7,2.0,9,100.0,1.0e-5,1.0e-10,0.5,100
60,60,0.7,2.0,10,100.0,1.0e-5,1.0e-10,0.5,100
61,70,0.7,2.0,1,100.0,1.0e-5,1.0e-10,0.5,100
62,70,0.7,2.0,2,100.0,1.0e-5,1.0e-10,0.5,100
63,70,0.7,2.0,3,100.0,1.0e-5,1.0e-10,0.5,100
64,70,0.7,2.0,4,100.0,1.0e-5,1.0e-10,0.5,100
65,70,0.7,2.0,5,100.0,1.0e-5,1.0e-10,0.5,100
66,70,0.7,2.0,6,100.0,1.0e-5,1.0e-10,0.5,100
67,70,0.7,2.0,7,100.0,1.0e-5,1.0e-10,0.5,100
68,70,0.7,2.0,8,100.0,1.0e-5,1.0e-10,0.5,100
69,70,0.7,2.0,9,100.0,1.0e-5,1.0e-10,0.5,100
70,70,0.7,2.0,10,100.0,1.0e-5,1.0e-10,0.5,100
71,80,0.7,2.0,1,100.0,1.0e-5,1.0e-10,0.5,100
72,80,0.7,2.0,2,100.0,1.0e-5,1.0e-10,0.5,100
73,80,0.7,2.0,3,100.0,1.0e-5,1.0e-10,0.5,100
74,80,0.7,2.0,4,100.0,1.0e-5,1.0e-10,0.5,100
75,80,0.7,2.0,5,100.0,1.0e-5,1.0e-10,0.5,100
76,80,0.7,2.0,6,100.0,1.0e-5,1.0e-10,0.5,100
77,80,0.7,2.0,7,100.0,1.0e-5,1.0e-10,0.5,100
78,80,0.7,2.0,8,100.0,1.0e-5,1.0e-10,0.5,100
79,80,0.7,2.0,9,100.0,1.0e-5,1.0e-10,0.5,100
80,80,0.7,2.0,10,100.0,1.0e-5,1.0e-10,0.5,100
81,50,0.8,2.0,1,100.0,1.0e-5,1.0e-10,0.5,100
82,50,0.8,2.0,2,100.0,1.0e-5,1.0e-10,0.5,100
83,50,0.8,2.0,3,100.0,1.0e-5,1.0e-10,0.5,100
84,50,0.8,2.0,4,100.0,1.0e-5,1.0e-10,0.5,100
85,50,0.8,2.0,5,100.0,1.0e-5,1.0e-10,0.5,100
86,50,0.8,2.0,6,100.0,1.0e-5,1.0e-10,0.5,100
87,50,0.8,2.0,7,100.0,1.0e-5,1.0e-10,0.5,100
88,50,0.8,2.0,8,100.0,1.0e-5,1.0e-10,0.5,100
89,50,0.8,2.0,9,100.0,1.0e-5,1.0e-10,0.5,100
90,50,0.8,2.0,10,100.0,1.0e-5,1.0e-10,0.5,100
91,60,0.8,2.0,1,100.0,1.0e-5,1.0e-10,0.5,100
92,60,0.8,2.0,2,100.0,1.0e-5,1.0e-10,0.5,100
93,60,0.8,2.0,3,100.0,1.0e-5,1.0e-10,0.5,100
94,60,0.8,2.0,4,100.0,1.0e-5,1.0e-10,0.5,100
95,60,0.8,2.0,5,100.0,1.0e-5,1.0e-10,0.5,100
96,60,0.8,2.0,6,100.0,1.0e-5,1.0e-10,0.5,100
97,60,0.8,2.0,7,100.0,1.0e-5,1.0e-10,0.5,100
98,60,0.8,2.0,8,100.0,1.0e-5,1.0e-10,0.5,100
99,60,0.8,2.0,9,100.0,1.0e-5,1.0e-10,0.5,100
100,60,0.8,2.0,10,100.0,1.0e-5,1.0e-10,0.5,100
101,70,0.8,2.0,1,100.0,1.0e-5,1.0e-10,0.5,100
102,70,0.8,2.0,2,100.0,1.0e-5,1.0e-10,0.5,100
103,70,0.8,2.0,3,100.0,1.0e-5,1.0e-10,0.5,100
104,70,0.8,2.0,4,100.0,1.0e-5,1.0e-10,0.5,100
105,70,0.8,2.0,5,100.0,1.0e-5,1.0e-10,0.5,100
106,70,0.8,2.0,6,100.0,1.0e-5,1.0e-10,0.5,100
107,70,0.8,2.0,7,100.0,1.0e-5,1.0e-10,0.5,100
108,70,0.8,2.0,8,100.0,1.0e-5,1.0e-10,0.5,100
109,70,0.8,2.0,9,100.0,1.0e-5,1.0e-10,0.5,100
110,70,0.8,2.0,10,100.0,1.0e-5,1.0e-10,0.5,100
111,80,0.8,2.0,1,100.0,1.0e-5,1.0e-10,0.5,100
112,80,0.8,2.0,2,100.0,1.0e-5,1.0e-10,0.5,100
113,80,0.8,2.0,3,100.0,1.0e-5,1.0e-10,0.5,100
114,80,0.8,2.0,4,100.0,1.0e-5,1.0e-10,0.5,100
115,80,0.8,2.0,5,100.0,1.0e-5,1.0e-10,0.5,100
116,80,0.8,2.0,6,100.0,1.0e-5,1.0e-10,0.5,100
117,80,0.8,2.0,7,100.0,1.0e-5,1.0e-10,0.5,100
118,80,0.8,2.0,8,100.0,1.0e-5,1.0e-10,0.5,100
119,80,0.8,2.0,9,100.0,1.0e-5,1.0e-10,0.5,100
120,80,0.8,2.0,10,100.0,1.0e-5,1.0e-10,0.5,100
121,50,0.9,2.0,1,100.0,1.0e-5,1.0e-10,0.5,100
122,50,0.9,2.0,2,100.0,1.0e-5,1.0e-10,0.5,100
123,50,0.9,2.0,3,100.0,1.0e-5,1.0e-10,0.5,100
124,50,0.9,2.0,4,100.0,1.0e-5,1.0e-10,0.5,100
125,50,0.9,2.0,5,100.0,1.0e-5,1.0e-10,0.5,100
126,50,0.9,2.0,6,100.0,1.0e-5,1.0e-10,0.5,100
127,50,0.9,2.0,7,100.0,1.0e-5,1.0e-10,0.5,100
128,50,0.9,2.0,8,100.0,1.0e-5,1.0e-10,0.5,100
129,50,0.9,2.0,9,100.0,1.0e-5,1.0e-10,0.5,100
130,50,0.9,2.0,10,100.0,1.0e-5,1.0e-10,0.5,100
131,60,0.9,2.0,1,100.0,1.0e-5,1.0e-10,0.5,100
132,60,0.9,2.0,2,100.0,1.0e-5,1.0e-10,0.5,100
133,60,0.9,2.0,3,100.0,1.0e-5,1.0e-10,0.5,100
134,60,0.9,2.0,4,100.0,1.0e-5,1.0e-10,0.5,100
135,60,0.9,2.0,5,100.0,1.0e-5,1.0e-10,0.5,100
136,60,0.9,2.0,6,100.0,1.0e-5,1.0e-10,0.5,100
137,60,0.9,2.0,7,100.0,1.0e-5,1.0e-10,0.5,100
138,60,0.9,2.0,8,100.0,1.0e-5,1.0e-10,0.5,100
139,60,0.9,2.0,9,100.0,1.0e-5,1.0e-10,0.5,100
140,60,0.9,2.0,10,100.0,1.0e-5,1.0e-10,0.5,100
141,70,0.9,2.0,1,100.0,1.0e-5,1.0e-10,0.5,100
142,70,0.9,2.0,2,100.0,1.0e-5,1.0e-10,0.5,100
143,70,0.9,2.0,3,100.0,1.0e-5,1.0e-10,0.5,100
144,70,0.9,2.0,4,100.0,1.0e-5,1.0e-10,0.5,100
145,70,0.9,2.0,5,100.0,1.0e-5,1.0e-10,0.5,100
146,70,0.9,2.0,6,100.0,1.0e-5,1.0e-10,0.5,100
147,70,0.9,2.0,7,100.0,1.0e-5,1.0e-10,0.5,100
148,70,0.9,2.0,8,100.0,1.0e-5,1.0e-10,0.5,100
149,70,0.9,2.0,9,100.0,1.0e-5,1.0e-10,0.5,100
150,70,0.9,2.0,10,100.0,1.0e-5,1.0e-10,0.5,100
151,80,0.9,2.0,1,100.0,1.0e-5,1.0e-10,0.5,100
152,80,0.9,2.0,2,100.0,1.0e-5,1.0e-10,0.5,100
153,80,0.9,2.0,3,100.0,1.0e-5,1.0e-10,0.5,100
154,80,0.9,2.0,4,100.0,1.0e-5,1.0e-10,0.5,100
155,80,0.9,2.0,5,100.0,1.0e-5,1.0e-10,0.5,100
156,80,0.9,2.0,6,100.0,1.0e-5,1.0e-10,0.5,100
157,80,0.9,2.0,7,100.0,1.0e-5,1.0e-10,0.5,100
158,80,0.9,2.0,8,100.0,1.0e-5,1.0e-10,0.5,100
159,80,0.9,2.0,9,100.0,1.0e-5,1.0e-10,0.5,100
160,80,0.9,2.0,10,100.0,1.0e-5,1.0e-10,0.5,100
