id,mass,radius,theta,theta_dot,x,y,vx,vy
1,1.0000000000,0.1000000000,3.2245603410,2.4499844321,-1.9931203106,-0.0828725336,0.4060728343,-2.4415568662
2,1.0000000000,0.1000000000,0.1909110916,0.7140438302,1.9636635196,0.1897535123,-0.2709846494,0.7010709104
3,1.0000000000,0.1000000000,0.7936825145,0.2309944129,1.4024493259,0.7129403706,-0.3293704847,0.1619789793
4,1.0000000000,0.1000000000,2.3504095536,-0.6116552802,-1.4060088085,0.7111854945,0.8700007258,0.4299963559
5,1.0000000000,0.1000000000,3.0123981062,-1.1685651208,-1.9833319725,0.1288354445,0.3011052136,1.1588262830
6,1.0000000000,0.1000000000,4.3153415424,-0.9516206800,-0.7733943183,-0.9222067594,-1.7551820470,0.3679890135
7,1.0000000000,0.1000000000,2.5594669647,2.0597685711,-1.6705916652,0.5498007567,-2.2649246379,-1.7205161035
8,1.0000000000,0.1000000000,5.2926143032,-1.1892182190,1.0964247939,-0.8363391464,-1.9891795004,-0.6519441704
9,1.0000000000,0.1000000000,4.8248221512,-0.5537665481,0.2243928769,-0.9936860466,-1.1005401838,-0.0621306344
10,1.0000000000,0.1000000000,0.6556650962,-0.2504199666,1.5852852064,0.6096865618,0.3053553769,-0.1984935343
11,1.0000000000,0.1000000000,4.9617007333,0.4953909447,0.4934740991,-0.9690824673,0.9601493579,0.1222313001
12,1.0000000000,0.1000000000,2.1367509112,-0.4072791770,-1.0724436061,0.8440771161,0.6875500664,0.2183919747
13,1.0000000000,0.1000000000,5.5619729933,1.4168139155,1.5020115914,-0.6602956117,1.8710320219,1.0640354620
14,1.0000000000,0.1000000000,1.1104754463,-1.8104917976,0.8884712197,0.8959099971,3.2440754024,-0.8042849279
15,1.0000000000,0.1000000000,0.9930272250,1.6205846979,1.0923130232,0.8376831530,-2.7150729988,0.8850928854
16,1.0000000000,0.1000000000,5.9096536394,-1.5293869417,1.8620888568,-0.3649058404,-1.1161644545,-1.4239271909
17,1.0000000000,0.1000000000,4.5335271885,1.0447483978,-0.3558192777,-0.9840468284,2.0561626945,-0.1858708102
18,1.0000000000,0.1000000000,1.9314073586,-0.3221840260,-0.7056920603,0.9356813982,0.6029231999,0.1136813546
19,1.0000000000,0.1000000000,5.4262769910,-0.1681355033,1.3095547118,-0.7558218138,-0.2541609621,-0.1100913203
20,1.0000000000,0.1000000000,3.6714963704,0.6191755319,-1.7257114817,-0.5054502651,0.6259248734,-0.5342591623
