time,total_energy,momentum_x,momentum_y
0.0000000000,3.015953531589538e+01,2.112946039047637e+00,-1.907051729160589e+00
0.0100054510,3.015953499155463e+01,1.835695153647422e+00,-1.479215427547757e+00
0.0200054510,3.015953403279835e+01,1.794488516823276e+00,-1.400115071005087e+00
0.0300054510,3.015953301572217e+01,1.745718762572254e+00,-1.317115192421809e+00
0.0400054510,3.015953190661071e+01,1.689317640068433e+00,-1.230308831345845e+00
0.0500054510,3.015953066923462e+01,1.625235118812612e+00,-1.139799780934357e+00
0.0600010504,3.015952927032374e+01,1.601405211967425e+00,-7.987049896586833e-01
0.0700010504,3.015952766384238e+01,1.524168836895036e+00,-6.988242582410988e-01
0.0800008216,3.015952579734591e+01,1.551110075090353e+00,-1.950669307297840e-01
0.0900010115,3.015951832675758e+01,-1.311042140502691e+00,7.531779429808825e-01
0.1000010115,3.015950976907250e+01,-1.465560488145184e+00,8.142560666928098e-01
0.1100092664,3.015950167448831e+01,-1.255530412690509e+00,1.276365590209231e+00
0.1200079431,3.015949457957354e+01,-1.565111312411072e+00,1.420314868458729e+00
0.1300016775,3.015948842548809e+01,-1.631866096063873e+00,1.451766755166431e+00
0.1400011094,3.015948288333174e+01,-1.714592005846392e+00,1.808825493120218e+00
0.1500011094,3.015947802737626e+01,-1.830075375980953e+00,1.828725743178277e+00
0.1600091216,3.015947386705619e+01,-1.993090538689803e+00,1.653875934383006e+00
0.1700091216,3.015947040060401e+01,-2.084952516471499e+00,1.668835281373907e+00
0.1800049166,3.015946719207086e+01,-1.657995820750863e+00,1.896980579876799e+00
0.1900079161,3.015946659621467e+01,-2.174393235084833e+00,1.545461552277924e+00
0.2000079161,3.015946676109969e+01,-2.173396924824792e+00,1.562774567543781e+00
0.2100079161,3.015946693996730e+01,-2.162172447572527e+00,1.582419049071639e+00
0.2200079161,3.015946706332477e+01,-2.140616309525792e+00,1.604515489206206e+00
0.2300073514,3.015946705764916e+01,-2.038961474580642e+00,1.495674389366430e+00
0.2400076253,3.015946684644409e+01,-2.039927546926966e+00,1.267413750854751e+00
0.2500076253,3.015946634565586e+01,-1.985226074165918e+00,1.297241047920385e+00
0.2600073529,3.015946295314837e+01,-1.588523803891730e+00,1.839171924198172e+00
0.2700010374,3.015945630919038e+01,-1.474143851133133e+00,1.651445771041533e+00
0.2800062035,3.015944753868875e+01,-6.346291382033834e-01,1.281218976515729e+00
0.2900041859,3.015943698758336e+01,-5.376743248340115e-01,1.533102549651506e+00
0.3000041859,3.015942484876684e+01,-3.218702710374544e-01,1.564048690657091e+00
0.3100087906,3.015941110089451e+01,-2.443674813150887e-02,1.811300890848973e+00
0.3200087906,3.015939581336882e+01,2.231079981404106e-01,1.830501095663801e+00
0.3300001406,3.015937930864179e+01,2.610682023162783e+00,1.814793449003176e+00
0.3400047506,3.015936364317257e+01,2.797223141778988e+00,1.875562419625474e+00
0.3500039071,3.015934957171043e+01,2.829913897669549e+00,2.061976177099226e+00
0.3600039071,3.015933719254533e+01,3.060824420909355e+00,2.001798615280856e+00
0.3700050429,3.015932657503855e+01,2.941556983131637e+00,1.280391286886305e+00
0.3800050429,3.015931758916987e+01,3.148336902533888e+00,1.217244565682220e+00
0.3900016710,3.015931380520744e+01,4.983429066667794e+00,6.810233548512339e-01
0.4000076642,3.015931540591691e+01,5.292164161063006e+00,1.298778086575527e-01
0.4100076642,3.015931723182486e+01,5.365775311827305e+00,8.791919917096558e-02
0.4200076642,3.015931925021430e+01,5.434357559501531e+00,4.706876109025626e-02
0.4300076642,3.015932143244349e+01,5.498263966185952e+00,7.175922047739647e-03
0.4400076642,3.015932375364178e+01,5.557806888457932e+00,-3.190210637652702e-02
0.4500076642,3.015932619215119e+01,5.613260914548608e+00,-7.029968951205445e-02
