time,total_energy,conjugate_momentum
0.0000000000,5.785825396925546e+01,7.234580095433678e+00
0.0010001000,5.785825397219676e+01,7.234580095850742e+00
0.0020000064,5.785825397517971e+01,7.234580096240171e+00
0.0030000064,5.785825397812596e+01,7.234580096661339e+00
0.0040000859,5.785825398119366e+01,7.234580097231225e+00
0.0050000859,5.785825398421593e+01,7.234580097708101e+00
0.0060000859,5.785825398723323e+01,7.234580098189244e+00
0.0070000859,5.785825399024554e+01,7.234580098674787e+00
0.0080000961,5.785825399324865e+01,7.234580099165914e+00
0.0090000961,5.785825399626018e+01,7.234580099655345e+00
0.0100000977,5.785825399814829e+01,7.234580099720082e+00
0.0110000977,5.785825400047070e+01,7.234580099978280e+00
0.0120000977,5.785825400277632e+01,7.234580100236151e+00
0.0130000270,5.785825401218233e+01,7.234580107935189e+00
0.0140000270,5.785825401317604e+01,7.234580107445964e+00
0.0150000270,5.785825401415212e+01,7.234580106955914e+00
0.0160000270,5.785825401510996e+01,7.234580106464969e+00
0.0170000270,5.785825401604896e+01,7.234580105972782e+00
0.0180000105,5.785825401696545e+01,7.234580105479516e+00
0.0190000105,5.785825401788225e+01,7.234580104989143e+00
0.0200000105,5.785825401878105e+01,7.234580104497872e+00
0.0210000105,5.785825401965990e+01,7.234580104004898e+00
0.0220000105,5.785825402052051e+01,7.234580103510599e+00
0.0230000105,5.785825402136202e+01,7.234580103014943e+00
0.0240000105,5.785825402218394e+01,7.234580102517590e+00
0.0250000105,5.785825402298542e+01,7.234580102018853e+00
0.0260000105,5.785825402376819e+01,7.234580101518524e+00
0.0270000105,5.785825402453076e+01,7.234580101016302e+00
0.0280000096,5.785825402527302e+01,7.234580100512621e+00
0.0290000891,5.785825402598329e+01,7.234580100006424e+00
0.0300000891,5.785825402668276e+01,7.234580099496707e+00
0.0310000891,5.785825402736199e+01,7.234580098985098e+00
0.0320000686,5.785824564884002e+01,7.234577944013953e+00
0.0330000620,5.785824564935707e+01,7.234577943557621e+00
0.0340000620,5.785824564778508e+01,7.234577942313233e+00
0.0350000352,5.785824564661899e+01,7.234577941219240e+00
0.0360000782,5.785824564585896e+01,7.234577940373669e+00
0.0370000782,5.785824564507326e+01,7.234577939515361e+00
0.0380000782,5.785824564426016e+01,7.234577938645645e+00
0.0390000782,5.785824564341935e+01,7.234577937764236e+00
0.0400000713,5.785824564252005e+01,7.234577936852461e+00
0.0410000713,5.785824564161545e+01,7.234577935944341e+00
0.0420000713,5.785824564068185e+01,7.234577935023804e+00
0.0430000312,5.785824563968597e+01,7.234577934141624e+00
0.0440000312,5.785824563867138e+01,7.234577933214606e+00
0.0450000290,5.785824563826430e+01,7.234577932800510e+00
0.0460000248,5.785824564809878e+01,7.234577943228847e+00
0.0470000248,5.785824564345362e+01,7.234577940420758e+00
0.0480000248,5.785824563877760e+01,7.234577937598900e+00
0.0490000248,5.785824563407044e+01,7.234577934764059e+00
0.0500000248,5.785824562933244e+01,7.234577931916512e+00
0.0510000248,5.785824562456558e+01,7.234577929057263e+00
0.0520000285,5.785824561977196e+01,7.234577926182469e+00
0.0530000285,5.785824561494960e+01,7.234577923301047e+00
0.0540000285,5.785824561010168e+01,7.234577920408830e+00
0.0550000285,5.785824560522940e+01,7.234577917506527e+00
0.0560000285,5.785824560033298e+01,7.234577914594203e+00
0.0570000285,5.785824559541419e+01,7.234577911673016e+00
0.0580000285,5.785824559047530e+01,7.234577908742354e+00
0.0590000285,5.785824558551742e+01,7.234577905803929e+00
0.0600000285,5.785824558053991e+01,7.234577902857476e+00
0.0610000285,5.785824557554560e+01,7.234577899903767e+00
0.0620000285,5.785824557053611e+01,7.234577896943334e+00
0.0630000285,5.785824556551072e+01,7.234577893976485e+00
0.0640000285,5.785824556047310e+01,7.234577891004173e+00
0.0650000285,5.785824555542309e+01,7.234577888026266e+00
0.0660000285,5.785824555036270e+01,7.234577885043784e+00
0.0670000285,5.785824554529309e+01,7.234577882056833e+00
0.0680000285,5.785824554021490e+01,7.234577879066564e+00
0.0690000285,5.785824553513154e+01,7.234577876073393e+00
0.0700000285,5.785824553004393e+01,7.234577873077658e+00
0.0710000285,5.785824552495230e+01,7.234577870080259e+00
0.0720000285,5.785824551985768e+01,7.234577867081990e+00
0.0730000285,5.785824551476309e+01,7.234577864082590e+00
0.0740000285,5.785824550967074e+01,7.234577861083140e+00
0.0750000285,5.785824550458133e+01,7.234577858084017e+00
0.0760000285,5.785824549949493e+01,7.234577855086176e+00
0.0770000759,5.785824549419189e+01,7.234577852036210e+00
0.0780000759,5.785824548896610e+01,7.234577849000499e+00
0.0790000759,5.785824548374554e+01,7.234577845966480e+00
0.0800000759,5.785824547853209e+01,7.234577842935218e+00
0.0810000551,5.785824547333169e+01,7.234577839910136e+00
0.0820000551,5.785824546813128e+01,7.234577836883883e+00
0.0830000551,5.785824546294202e+01,7.234577833861749e+00
0.0840000551,5.785824545776550e+01,7.234577830843815e+00
0.0850000551,5.785824545260328e+01,7.234577827832009e+00
0.0860000551,5.785824544745736e+01,7.234577824826493e+00
0.0870000551,5.785824544232764e+01,7.234577821827067e+00
0.0880000551,5.785824543721693e+01,7.234577818835134e+00
0.0890000551,5.785824543212557e+01,7.234577815850979e+00
0.0900000316,5.785824542709489e+01,7.234577812892898e+00
0.0910000316,5.785824542205597e+01,7.234577809929124e+00
0.0920000316,5.785824541704138e+01,7.234577806974579e+00
0.0930000167,5.785824541034670e+01,7.234577803389455e+00
0.0940000321,5.785824540538714e+01,7.234577800650439e+00
0.0950000321,5.785824540088868e+01,7.234577798052586e+00
0.0960000321,5.785824539640070e+01,7.234577795459659e+00
