id,mass,radius,theta,theta_dot,x,y,vx,vy
1,1.0000000000,0.1000000000,3.9524375827,1.9945573088,-1.3777724312,-0.7248694931,2.8915874906,-1.3740230362
2,1.0000000000,0.1000000000,0.3800107905,0.6923520079,1.8573212662,0.3709304901,-0.5136289392,0.6429600540
3,1.0000000000,0.1000000000,1.1046631108,0.1992325914,0.8988708123,0.8933128319,-0.3559540609,0.0895421806
4,1.0000000000,0.1000000000,2.8173555609,1.8497625811,-1.8957881072,0.3185857234,-1.1786158999,-1.7533789512
5,1.0000000000,0.1000000000,3.7865632235,2.5266069119,-1.5982349198,-0.6011749207,3.0378654197,-2.0190556976
6,1.0000000000,0.1000000000,4.4384439664,-0.1873128279,-0.5410628817,-0.9627111402,-0.3606562922,0.0506740092
7,1.0000000000,0.1000000000,3.3444336170,-0.2615172501,-1.9589964224,-0.2014528586,-0.1053667952,0.2561556787
8,1.0000000000,0.1000000000,5.6558386735,-0.7729533861,1.6191757579,-0.5869986936,-0.9074452557,-0.6257736923
9,1.0000000000,0.1000000000,4.8619515158,1.4398861736,0.2980111317,-0.9888363572,2.8476235975,0.2145510540
10,1.0000000000,0.1000000000,0.9847491620,-1.1636726900,1.1061442267,0.8331333851,1.9389891348,-0.6435949139
11,1.0000000000,0.1000000000,5.0785701894,-0.3616850095,0.7161048813,-0.9337014779,-0.6754116557,-0.1295022004
12,1.0000000000,0.1000000000,2.6172477581,-1.9969620019,-1.7313042057,0.5006460195,1.9995421547,1.7286743562
13,1.0000000000,0.1000000000,6.1892088097,-0.6848484021,1.9911749158,-0.0938382316,-0.1285299260,-0.6818264797
14,1.0000000000,0.1000000000,2.0233608582,0.4060512945,-0.8745466522,0.8993286598,-0.7303471329,-0.1775554001
15,1.0000000000,0.1000000000,1.3447359901,1.0970767770,0.4482796929,0.9745569913,-2.1383276860,0.2458986203
16,1.0000000000,0.1000000000,0.8151169730,1.0434011491,1.3715665291,0.7278058217,-1.5187868613,0.7155470462
17,1.0000000000,0.1000000000,4.5495667376,-0.9136749025,-0.3242075269,-0.9867737177,-1.8031807605,0.1481101403
18,1.0000000000,0.1000000000,2.1705733610,-1.0278501507,-1.1289168754,0.8254614904,1.6969014345,0.5801786903
19,1.0000000000,0.1000000000,5.9925791781,-0.5495847045,1.9161407511,-0.2865329920,-0.3149482994,-0.5265408242
20,1.0000000000,0.1000000000,4.2847085476,1.7023166230,-0.8295225514,-0.9099302634,3.0979788262,-0.7060550142
21,1.0000000000,0.1000000000,5.3906634400,-0.4296705294,1.2549007109,-0.7786565684,-0.6691315599,-0.2695969264
22,1.0000000000,0.1000000000,2.4737737415,-1.4274490490,-1.5703484509,0.6192749274,1.7679668123,1.1207962014
23,1.0000000000,0.1000000000,5.8106291143,1.6212942608,1.7808154239,-0.4551638238,1.4759089904,1.4436129131
24,1.0000000000,0.1000000000,5.2300685063,-1.8496183954,0.9897301000,-0.8689698397,-3.2145252011,-0.9153114997
25,1.0000000000,0.1000000000,0.1263152171,2.4181952177,1.9840656696,0.1259795806,-0.6092864384,2.3989290568
26,1.0000000000,0.1000000000,1.8726198158,0.5008281242,-0.5945235200,0.9547960233,-0.9563774027,-0.1488770497
27,1.0000000000,0.1000000000,4.1623321778,-0.5441865744,-1.0454713074,-0.8524948307,-0.9278324832,0.2844657247
28,1.0000000000,0.1000000000,4.7134718932,-0.7664732971,0.0021658251,-0.9999994137,-1.5329456953,-0.0008300236
29,1.0000000000,0.1000000000,3.6395697335,-0.9225196626,-1.7571012104,-0.4776492794,-0.8812817042,0.8104802079
30,1.0000000000,0.1000000000,1.2151039391,1.4915972628,0.6964789934,0.9374055968,-2.7964632447,0.5194330801
