id,mass,radius,theta,theta_dot,x,y,vx,vy
1,1.0000000000,0.1000000000,3.7195877736,-0.8696500577,-1.6751193806,-0.5463458293,-0.9502593640,0.7283838330
2,1.0000000000,0.1000000000,0.5071776709,-1.3844743660,1.7482376535,0.4857121336,1.3449119965,-1.2101951085
3,1.0000000000,0.1000000000,1.3054666705,-0.3703771016,0.5244548055,0.9650061084,0.7148323310,-0.0971230254
4,1.0000000000,0.1000000000,2.5106491632,-0.1937363003,-1.6149425927,0.5899068618,0.2285727459,0.1564365016
5,1.0000000000,0.1000000000,3.4650014539,-1.8338175994,-1.8963152211,-0.3178004807,-1.1655762293,1.7387481132
6,1.0000000000,0.1000000000,4.2067956458,0.2021655483,-0.9686532528,-0.8748872607,0.3537441256,-0.0979141580
7,1.0000000000,0.1000000000,2.8789873576,-0.3321669434,-1.9314338565,0.2595974085,0.1724593554,0.3207792402
8,1.0000000000,0.1000000000,5.2491988435,-0.5412003368,1.0227943440,-0.8593444783,-0.9301550422,-0.2767683217
9,1.0000000000,0.1000000000,4.9641058498,0.4213848353,0.4981341799,-0.9684862336,0.8162108242,0.1049530947
10,1.0000000000,0.1000000000,1.0854498401,0.4108314981,0.9330297191,0.8845133610,-0.7267718984,0.1916589987
11,1.0000000000,0.1000000000,5.0809904087,-0.9437914452,0.7206223042,-0.9328321787,-1.7607980603,-0.3400585830
12,1.0000000000,0.1000000000,2.2316580644,1.4610531984,-1.2275947804,0.7894635924,-2.3068966135,-0.8967906402
13,1.0000000000,0.1000000000,6.0482942764,1.9148119304,1.9450794166,-0.2327370100,0.8912952068,1.8622306362
14,1.0000000000,0.1000000000,1.8139163469,0.4948200211,-0.4814641172,0.9705916113,-0.9605363231,-0.1191190423
15,1.0000000000,0.1000000000,1.5935736276,1.0764161222,-0.0455506627,0.9997406085,-2.1522738181,-0.0245157339
16,1.0000000000,0.1000000000,0.2404144998,-1.0190326721,1.9424787274,0.2381052254,0.4852740082,-0.9897246441
17,1.0000000000,0.1000000000,4.7488135810,-1.6719469923,0.0728330934,-0.9993366976,-3.3416759716,-0.0608865358
18,1.0000000000,0.1000000000,2.0156999338,-0.3305927974,-0.8607417458,0.9026521543,0.5968206015,0.1422775108
19,1.0000000000,0.1000000000,5.5845026675,1.8999188880,1.5313803803,-0.6432095558,2.4440919680,1.4547492546
20,1.0000000000,0.1000000000,3.9787707030,1.7525475580,-1.3391230230,-0.7427566104,2.6034325677,-1.1734383919
