time,total_energy,conjugate_momentum
0.0000000000,3.015953531589538e+01,1.017177724166850e+00
0.0010000000,3.015953531248950e+01,1.017177724514728e+00
0.0020010000,3.015953530916303e+01,1.017177724966003e+00
0.0030000000,3.015953530592458e+01,1.017177725518233e+00
0.0040000000,3.015953530276249e+01,1.017177726172237e+00
0.0050000000,3.015953529967859e+01,1.017177726926590e+00
0.0060000000,3.015953529667108e+01,1.017177727780393e+00
0.0070000000,3.015953529373860e+01,1.017177728732911e+00
0.0080000000,3.015953529087949e+01,1.017177729783154e+00
0.0090010000,3.015953528808939e+01,1.017177730931438e+00
0.0100004025,3.015953528265761e+01,1.017177731182344e+00
0.0110004025,3.015953527324169e+01,1.017177730138771e+00
0.0120004025,3.015953526379583e+01,1.017177729155238e+00
0.0130004025,3.015953525431708e+01,1.017177728230276e+00
0.0140004025,3.015953524480243e+01,1.017177727362309e+00
0.0150004025,3.015953523524876e+01,1.017177726549989e+00
0.0160004025,3.015953522565240e+01,1.017177725791703e+00
0.0170004025,3.015953521601115e+01,1.017177725086025e+00
0.0180004025,3.015953520632146e+01,1.017177724431287e+00
0.0190004025,3.015953519658001e+01,1.017177723826026e+00
0.0200004025,3.015953518678380e+01,1.017177723268518e+00
0.0210004025,3.015953517692932e+01,1.017177722757137e+00
0.0220004025,3.015953516701322e+01,1.017177722290281e+00
0.0230004025,3.015953515703282e+01,1.017177721866421e+00
0.0240004025,3.015953514698457e+01,1.017177721483828e+00
0.0250004025,3.015953513686495e+01,1.017177721140781e+00
0.0260004025,3.015953512667074e+01,1.017177720835564e+00
0.0270004025,3.015953511639850e+01,1.017177720566334e+00
0.0280004025,3.015953510604469e+01,1.017177720331331e+00
0.0290004025,3.015953509560586e+01,1.017177720128849e+00
0.0300004025,3.015953508507881e+01,1.017177719957097e+00
0.0310004025,3.015953507446001e+01,1.017177719814270e+00
0.0320004025,3.015953506374563e+01,1.017177719698408e+00
0.0330004025,3.015953505293287e+01,1.017177719607912e+00
0.0340004025,3.015953504201760e+01,1.017177719540725e+00
0.0350004025,3.015953503099633e+01,1.017177719494938e+00
0.0360004025,3.015953501986511e+01,1.017177719468531e+00
0.0370004025,3.015953500862070e+01,1.017177719459704e+00
0.0380004025,3.015953499725949e+01,1.017177719466387e+00
0.0390004025,3.015953498577781e+01,1.017177719486731e+00
0.0400004025,3.015953497417169e+01,1.017177719518655e+00
0.0410004025,3.015953496243761e+01,1.017177719560149e+00
0.0420004025,3.015953495057164e+01,1.017177719609118e+00
0.0430004025,3.015953493856979e+01,1.017177719663489e+00
0.0440004025,3.015953492642871e+01,1.017177719721304e+00
0.0450004025,3.015953491414434e+01,1.017177719780455e+00
0.0460004025,3.015953490171287e+01,1.017177719838673e+00
0.0470004025,3.015953488913054e+01,1.017177719893967e+00
0.0480004025,3.015953487639303e+01,1.017177719944074e+00
0.0490004025,3.015953486349690e+01,1.017177719986878e+00
0.0500004025,3.015953485043812e+01,1.017177720020250e+00
0.0510004025,3.015953483721256e+01,1.017177720041875e+00
0.0520004025,3.015953482381591e+01,1.017177720049447e+00
0.0530004025,3.015953481024464e+01,1.017177720040921e+00
0.0540000077,3.015953479649347e+01,1.017177720018542e+00
0.0550000077,3.015953478263767e+01,1.017177719946606e+00
0.0560000077,3.015953476859357e+01,1.017177719851969e+00
0.0570000077,3.015953475435673e+01,1.017177719732296e+00
0.0580000077,3.015953473992285e+01,1.017177719585199e+00
0.0590000077,3.015953472528810e+01,1.017177719408457e+00
0.0600000077,3.015953471044826e+01,1.017177719199610e+00
0.0610000077,3.015953469539851e+01,1.017177718956146e+00
0.0620000077,3.015953468013472e+01,1.017177718675875e+00
0.0630000077,3.015953466465284e+01,1.017177718356227e+00
0.0640000077,3.015953464894831e+01,1.017177717994844e+00
0.0650000077,3.015953463301655e+01,1.017177717589146e+00
0.0660000077,3.015953461685327e+01,1.017177717136668e+00
0.0670000077,3.015953460045441e+01,1.017177716635131e+00
0.0680000077,3.015953458381502e+01,1.017177716081998e+00
0.0690000077,3.015953456693066e+01,1.017177715474500e+00
0.0700000077,3.015953454979688e+01,1.017177714810311e+00
0.0710000077,3.015953453240888e+01,1.017177714086797e+00
0.0720000077,3.015953451476251e+01,1.017177713301341e+00
0.0730000077,3.015953449685294e+01,1.017177712451568e+00
0.0740000077,3.015953447867560e+01,1.017177711534627e+00
0.0750008908,3.015953446016269e+01,1.017177710609331e+00
0.0760008908,3.015953444134308e+01,1.017177709638388e+00
0.0770008908,3.015953442223245e+01,1.017177708593304e+00
0.0780008908,3.015953440282639e+01,1.017177707471703e+00
0.0790008908,3.015953438311944e+01,1.017177706270802e+00
0.0800008908,3.015953436310738e+01,1.017177704988072e+00
0.0810008908,3.015953434278477e+01,1.017177703620775e+00
0.0820008908,3.015953432214704e+01,1.017177702166363e+00
0.0830008908,3.015953430118887e+01,1.017177700622271e+00
0.0840009232,3.015953427730589e+01,1.017177699614019e+00
0.0850009232,3.015953421598044e+01,1.017177682775027e+00
0.0860009232,3.015953415404158e+01,1.017177665743438e+00
0.0870009232,3.015953409148946e+01,1.017177648518408e+00
0.0880009232,3.015953402832497e+01,1.017177631099325e+00
0.0890004805,3.015953147659447e+01,1.017184782572879e+00
0.0900004805,3.015953138927577e+01,1.017184752621782e+00
0.0910004805,3.015953130222764e+01,1.017184722714332e+00
0.0920004805,3.015953121546540e+01,1.017184692856122e+00
0.0930004805,3.015953112900502e+01,1.017184663052602e+00
0.0940004805,3.015953104286132e+01,1.017184633309361e+00
0.0950004805,3.015953095704998e+01,1.017184603631410e+00
0.0960004805,3.015953087158582e+01,1.017184574024389e+00
0.0970004805,3.015953078648403e+01,1.017184544493527e+00
0.0980004805,3.015953070175904e+01,1.017184515044075e+00
0.0990004805,3.015953061742561e+01,1.017184485681172e+00
0.1000004805,3.015953053349823e+01,1.017184456410094e+00
0.1010004805,3.015953044999124e+01,1.017184427235869e+00
0.1020004805,3.015953036691846e+01,1.017184398163635e+00
0.1030004805,3.015953028429355e+01,1.017184369198291e+00
0.1040004805,3.015953020213043e+01,1.017184340344802e+00
0.1050004805,3.015953012044233e+01,1.017184311607993e+00
0.1060004805,3.015953003924224e+01,1.017184282992632e+00
0.1070004805,3.015952995854303e+01,1.017184254503302e+00
0.1080004805,3.015952987835729e+01,1.017184226144728e+00
0.1090005261,3.015952980025697e+01,1.017184198945069e+00
0.1100005261,3.015952972507352e+01,1.017184172948058e+00
0.1110005261,3.015952965039601e+01,1.017184147075791e+00
0.1120005261,3.015952957623638e+01,1.017184121332929e+00
0.1130005261,3.015952950260622e+01,1.017184095723702e+00
0.1140005261,3.015952942951695e+01,1.017184070252549e+00
0.1150005261,3.015952935697931e+01,1.017184044923639e+00
0.1160005261,3.015952928500445e+01,1.017184019741021e+00
0.1170005261,3.015952921360253e+01,1.017183994708586e+00
0.1180008245,3.015952914404453e+01,1.017183968989175e+00
0.1190008245,3.015952907871564e+01,1.017183941824205e+00
0.1200008245,3.015952901395914e+01,1.017183914836353e+00
0.1210008245,3.015952894978423e+01,1.017183888029309e+00
0.1220000840,3.015952888625492e+01,1.017183861429386e+00
0.1230000840,3.015952882321756e+01,1.017183834976833e+00
0.1240000840,3.015952876078667e+01,1.017183808715104e+00
0.1250000840,3.015952869897016e+01,1.017183782647539e+00
0.1260000840,3.015952863777536e+01,1.017183756776994e+00
0.1270003167,3.015952857695151e+01,1.017183730998698e+00
0.1280003167,3.015952851663366e+01,1.017183705350926e+00
0.1290003167,3.015952845695388e+01,1.017183679906833e+00
0.1300003167,3.015952839791798e+01,1.017183654668967e+00
0.1310000169,3.015952833951911e+01,1.017183629636901e+00
0.1320000169,3.015952828173664e+01,1.017183604799055e+00
0.1330000169,3.015952822461463e+01,1.017183580174577e+00
0.1340000169,3.015952816815754e+01,1.017183555765756e+00
0.1350000169,3.015952811237034e+01,1.017183531574445e+00
0.1360000169,3.015952805725657e+01,1.017183507602823e+00
0.1370000169,3.015952800282063e+01,1.017183483852635e+00
0.1380001363,3.015952794906495e+01,1.017183460326232e+00
0.1390001363,3.015952789599516e+01,1.017183437021770e+00
0.1400001363,3.015952784361265e+01,1.017183413943442e+00
0.1410001363,3.015952779191985e+01,1.017183391092702e+00
0.1420001363,3.015952774091890e+01,1.017183368470927e+00
0.1430001363,3.015952769061203e+01,1.017183346079305e+00
0.1440001363,3.015952764100079e+01,1.017183323918954e+00
0.1450001363,3.015952759208649e+01,1.017183301990826e+00
0.1460001363,3.015952754387038e+01,1.017183280295836e+00
0.1470001363,3.015952749635329e+01,1.017183258834816e+00
0.1480001363,3.015952744953583e+01,1.017183237608370e+00
0.1490001363,3.015952740341793e+01,1.017183216617346e+00
0.1500001363,3.015952735799988e+01,1.017183195862131e+00
0.1510001363,3.015952731328168e+01,1.017183175343149e+00
0.1520001363,3.015952726926255e+01,1.017183155060809e+00
0.1530001363,3.015952722594174e+01,1.017183135015418e+00
0.1540001363,3.015952718331858e+01,1.017183115207173e+00
0.1550001363,3.015952714139137e+01,1.017183095636201e+00
