id,mass,radius,theta,theta_dot,x,y,vx,vy
1,1.0000000000,0.1000000000,3.7274697352,-0.8646977754,-1.6664548827,-0.5529304034,-0.9562353795,0.7204899149
2,1.0000000000,0.1000000000,0.5197685075,-1.3715216305,1.7358683609,0.4966792309,1.3624126172,-1.1903905024
3,1.0000000000,0.1000000000,1.3088045640,-0.3701306152,0.5180097205,0.9658760181,0.7150005695,-0.0958656283
4,1.0000000000,0.1000000000,2.5123932036,-0.1939726648,-1.6169977784,0.5884977028,0.2283049353,0.1568266840
5,1.0000000000,0.1000000000,3.4819459108,-1.8120775566,-1.8852736000,-0.3338201062,-1.2098158449,1.7081309893
6,1.0000000000,0.1000000000,4.2049757694,0.2023075795,-0.9718360204,-0.8740043978,0.3536354284,-0.0983048965
7,1.0000000000,0.1000000000,2.8819799797,-0.3327869556,-1.9329789593,0.2567062246,0.1708569659,0.3216350915
8,1.0000000000,0.1000000000,5.2541263320,-0.5422915559,1.0312507130,-0.8568141524,-0.9292861596,-0.2796192768
9,1.0000000000,0.1000000000,4.9603034845,0.4210814317,0.4907655197,-0.9694262742,0.8164148070,0.1033261239
10,1.0000000000,0.1000000000,1.0817379798,0.4113953845,0.9395896566,0.8827756336,-0.7263396424,0.1932714240
11,1.0000000000,0.1000000000,5.0896754095,-0.9460793944,0.7367982191,-0.9296677342,-1.7590789740,-0.3485348065
12,1.0000000000,0.1000000000,2.2180183391,1.4509921836,-1.2059451249,0.7977619250,-2.3150926350,-0.8749084750
13,1.0000000000,0.1000000000,6.0306273104,1.8945970728,1.9365527878,-0.2498816220,0.9468499792,1.8344936216
14,1.0000000000,0.1000000000,1.8094340832,0.4944117036,-0.4727584146,0.9716608824,-0.9608010244,-0.1168686466
15,1.0000000000,0.1000000000,1.5836992859,1.0762381280,-0.0258052022,0.9999167580,-2.1522970794,-0.0138862712
16,1.0000000000,0.1000000000,0.2496318437,-1.0133986627,1.9380068788,0.2470472313,0.5007146676,-0.9819867896
17,1.0000000000,0.1000000000,4.7649835951,-1.6726189023,0.1051407406,-0.9986172220,-3.3406120835,-0.0879301951
18,1.0000000000,0.1000000000,2.0186753085,-0.3309262001,-0.8661093848,0.9013676461,0.5965723401,0.1433091438
19,1.0000000000,0.1000000000,5.5665429594,1.8775831083,1.5080309430,-0.6568566577,2.4666059300,1.4157267127
20,1.0000000000,0.1000000000,3.9622417725,1.7689313590,-1.3634929260,-0.7315885184,2.5882597440,-1.2059626973
