time,total_energy,conjugate_momentum
0.0000000000,5.785825396925546e+01,7.234580095433678e+00
0.0010017000,5.785825404880365e+01,7.234580106708617e+00
0.0020023059,5.785825412845180e+01,7.234580117924762e+00
0.0030013059,5.785825420791426e+01,7.234580129284263e+00
0.0040003837,5.785825428766200e+01,7.234580141070825e+00
0.0050020837,5.785825436940718e+01,7.234580153978051e+00
0.0060010837,5.785825445079560e+01,7.234580166959693e+00
0.0070000837,5.785825453204119e+01,7.234580180047081e+00
0.0080003978,5.785825461331191e+01,7.234580193208808e+00
0.0090020978,5.785825469475832e+01,7.234580206445605e+00
0.0100000117,5.785825476995117e+01,7.234580217667741e+00
0.0110017117,5.785825483276346e+01,7.234580224652516e+00
0.0120007117,5.785825489496978e+01,7.234580231615872e+00
0.0130000388,5.785825494787183e+01,7.234580236686519e+00
0.0140017388,5.785825497474640e+01,7.234580223455619e+00
0.0150007388,5.785825500106750e+01,7.234580210238249e+00
0.0160024388,5.785825502697321e+01,7.234580196961181e+00
0.0170014388,5.785825505231940e+01,7.234580183693913e+00
0.0180022193,5.785825507734189e+01,7.234580170420353e+00
0.0190012193,5.785825510206903e+01,7.234580157191996e+00
0.0200002193,5.785825512629255e+01,7.234580143931501e+00
0.0210019193,5.785825515007155e+01,7.234580130600836e+00
0.0220009193,5.785825517327368e+01,7.234580117270013e+00
0.0230026193,5.785825519601991e+01,7.234580103864857e+00
0.0240016193,5.785825521818371e+01,7.234580090455768e+00
0.0250006193,5.785825523982263e+01,7.234580077004512e+00
0.0260023193,5.785825526098915e+01,7.234580063472719e+00
0.0270013193,5.785825528156479e+01,7.234580049931267e+00
0.0280003047,5.785825530155704e+01,7.234580036320192e+00
0.0290023929,5.785825532101128e+01,7.234580022586528e+00
0.0300013929,5.785825533987496e+01,7.234580008837979e+00
0.0310003929,5.785825535818645e+01,7.234579995037040e+00
0.0320007044,5.785824699973424e+01,7.234577830842120e+00
0.0330015017,5.785824701844565e+01,7.234577820539064e+00
0.0340005017,5.785824697604902e+01,7.234577786977827e+00
0.0350026026,5.785824695332374e+01,7.234577762921223e+00
0.0360025710,5.785824693284712e+01,7.234577740078920e+00
0.0370015710,5.785824691165516e+01,7.234577716937418e+00
