time,total_energy,conjugate_momentum
0.0000000000,3.911544548876101e+00,-2.318302992698735e+00
0.1000002533,3.911544591992857e+00,-2.318302972885665e+00
0.2000002533,3.911544642724030e+00,-2.318302958128623e+00
0.3000002533,3.911544698488184e+00,-2.318302947700295e+00
0.4000002136,3.911544757303244e+00,-2.318302939770464e+00
0.5000002373,3.911544811270355e+00,-2.318302928805643e+00
0.6000002373,3.911544849195493e+00,-2.318302908560097e+00
0.7000001066,3.911544768072762e+00,-2.318302818789784e+00
0.8000001066,3.911544466903670e+00,-2.318302600718972e+00
0.9000001066,3.911543934127674e+00,-2.318302248897925e+00
1.0000001066,3.911543395397502e+00,-2.318301898748110e+00
1.1000001066,3.911543076441967e+00,-2.318301688963134e+00
1.2000001066,3.911542932977662e+00,-2.318301606664583e+00
1.3000003515,3.911542836341772e+00,-2.318301615618661e+00
1.4000001147,3.911540324841377e+00,-2.318302408367774e+00
1.5000004635,3.911540100075893e+00,-2.318302589880747e+00
1.6000004635,3.911540014648871e+00,-2.318302688472246e+00
1.7000004553,3.911540010544347e+00,-2.318302737147231e+00
1.8000004554,3.911540045991314e+00,-2.318302761668577e+00
1.9000004554,3.911540099969834e+00,-2.318302775309701e+00
2.0000004554,3.911540162671134e+00,-2.318302784252285e+00
2.1000004554,3.911540229530055e+00,-2.318302791352699e+00
2.2000004554,3.911540298406385e+00,-2.318302797950754e+00
2.3000001488,3.911540368374501e+00,-2.318302804633490e+00
2.4000001952,3.911540438758460e+00,-2.318302812067898e+00
2.5000004290,3.911540509283767e+00,-2.318302820087764e+00
2.6000004290,3.911540578222823e+00,-2.318302827430767e+00
2.7000003719,3.911540643363109e+00,-2.318302832589224e+00
2.8000001198,3.911540699131190e+00,-2.318302832141320e+00
2.9000004250,3.911540732640077e+00,-2.318302818399823e+00
3.0000000546,3.911540712646927e+00,-2.318302774877604e+00
3.1000000546,3.911540573019431e+00,-2.318302662741899e+00
3.2000000546,3.911540213680382e+00,-2.318302424445631e+00
3.3000000546,3.911539650960806e+00,-2.318302072202997e+00
3.4000000547,3.911539156949637e+00,-2.318301770733757e+00
3.5000004162,3.911538995226549e+00,-2.318301702716353e+00
3.6000000740,3.911538938526414e+00,-2.318301748875512e+00
3.7000004902,3.911538853908705e+00,-2.318301853776219e+00
3.8000004902,3.911538680574675e+00,-2.318302033342488e+00
3.9000004902,3.911538372019964e+00,-2.318302305460076e+00
4.0000004902,3.911537989634282e+00,-2.318302623858411e+00
4.1000004487,3.911537696721941e+00,-2.318302879259395e+00
4.2000003396,3.911537575147776e+00,-2.318303017488376e+00
4.3000003395,3.911537598048335e+00,-2.318303055180445e+00
4.4000003278,3.911537644530911e+00,-2.318303069524832e+00
4.5000003278,3.911537701956895e+00,-2.318303066289576e+00
4.6000003277,3.911537757442864e+00,-2.318303056262877e+00
4.7000004576,3.911537808634058e+00,-2.318303038675061e+00
4.8000000905,3.911537853737809e+00,-2.318303012736633e+00
4.9000004435,3.911537891734543e+00,-2.318302977820093e+00
5.0000004434,3.911537923001010e+00,-2.318302936065257e+00
5.1000003798,3.911537934416495e+00,-2.318302882483276e+00
5.2000001916,3.911537916195877e+00,-2.318302814009780e+00
5.3000001915,3.911537829455241e+00,-2.318302709323359e+00
5.4000001915,3.911537589348358e+00,-2.318302518974908e+00
5.5000001914,3.911537114391272e+00,-2.318302194502985e+00
5.6000001913,3.911536540905152e+00,-2.318301815269021e+00
5.7000003296,3.911536376667860e+00,-2.318301677646076e+00
5.8000003295,3.911536351884812e+00,-2.318301624752418e+00
5.9000000855,3.911536366321442e+00,-2.318301609062884e+00
6.0000000855,3.911536363756470e+00,-2.318301631162533e+00
6.1000000854,3.911536308613259e+00,-2.318301695946250e+00
6.2000000853,3.911536142591402e+00,-2.318301833857102e+00
6.3000004054,3.911531377615232e+00,-2.318304825984062e+00
6.4000004054,3.911531175335180e+00,-2.318304982263258e+00
6.5000004486,3.911531100624681e+00,-2.318305059885252e+00
6.6000004486,3.911531099073797e+00,-2.318305094787794e+00
6.7000004485,3.911531133881033e+00,-2.318305110708606e+00
6.8000003063,3.911531186840236e+00,-2.318305118801948e+00
6.9000003062,3.911531252304045e+00,-2.318305122012006e+00
7.0000003062,3.911531320095938e+00,-2.318305126337378e+00
7.1000004615,3.911531389214335e+00,-2.318305131900805e+00
7.2000004954,3.911531458626956e+00,-2.318305139052189e+00
7.3000004954,3.911531526461276e+00,-2.318305147813662e+00
7.4000004953,3.911531591065146e+00,-2.318305156703666e+00
7.5000001993,3.911531632116410e+00,-2.318305154507621e+00
7.6000001993,3.911531628042701e+00,-2.318305129722115e+00
7.7000001992,3.911531528495951e+00,-2.318305054626473e+00
7.8000001991,3.911531237506146e+00,-2.318304875516088e+00
7.9000001990,3.911530704758088e+00,-2.318304566118134e+00
8.0000001990,3.911530138259778e+00,-2.318304251354498e+00
8.1000003915,3.911529785172294e+00,-2.318304076402693e+00
8.2000003916,3.911529629149586e+00,-2.318304026575574e+00
8.3000003917,3.911529576716462e+00,-2.318304038061114e+00
8.4000003918,3.911529571907412e+00,-2.318304071774094e+00
8.5000004416,3.911529585285981e+00,-2.318304113108529e+00
8.6000004417,3.911529602571420e+00,-2.318304146609457e+00
8.7000004418,3.911529578980874e+00,-2.318304207909401e+00
8.8000004316,3.911529467423416e+00,-2.318304323853798e+00
8.9000000484,3.911529212522892e+00,-2.318304530999788e+00
9.0000003189,3.911528963711025e+00,-2.318304735230007e+00
9.1000004964,3.911528923074597e+00,-2.318304802250678e+00
