time,particle_id,theta,theta_dot,x,y,vx,vy,energy
0.0000000000,1,4.4662380793,-0.8710294978,-0.4873453920,-0.9698575242,-1.6895490245,0.2122461060,1.9947282581e+01
0.0000000000,2,3.0023738615,-0.6445813888,-1.9806494125,0.1387695076,0.1788964838,0.6383448745,9.0142488042e+00
0.0000000000,3,0.3362753707,-0.3938139474,1.8879804782,0.3299733754,0.2598962350,-0.3717565224,1.1308112492e-01
0.0000000000,4,2.8122118632,-0.7128182837,-1.8924856254,0.3234571678,0.4611323664,0.6744991778,7.9085355638e+00
0.0000000000,5,1.3114750649,-0.0747241477,0.5128491341,0.9665642459,0.1444513788,-0.0191611072,1.7199668458e+00
0.0000000000,6,5.0683216482,-0.2478819676,0.6969294532,-0.9373218947,-0.4646903911,-0.0863781221,2.5687884329e+01
0.0000000000,7,0.6754274443,-0.3488360631,1.5608795420,0.6252309684,0.4362062190,-0.2722455372,4.5620223257e-01
0.0000000000,8,4.6154946368,0.7694633347,-0.1934855982,-0.9953094146,1.5317082024,-0.0744400368,2.1302790742e+01
0.0000000000,9,3.5300450007,0.7227373936,-1.8509927033,-0.3787565222,0.5474830033,-0.6688908209,1.2461217707e+01
0.0000000000,10,3.6937780690,0.0390693057,-1.7027603968,-0.5245490995,0.0409875383,-0.0332628333,1.3643996423e+01
0.1000002533,1,4.3783369489,-0.8879627420,-0.6557475021,-0.9447215481,-1.6777550725,0.2911396750,1.9169834438e+01
0.1000002533,2,2.9388098747,-0.6259489361,-1.9590198620,0.2013958666,0.2521270569,0.6131231992,8.6366034798e+00
0.1000002533,3,0.2963464589,-0.4047636694,1.9128196117,0.2920278809,0.2364045533,-0.3871199425,8.7821223680e-02
0.1000002533,4,2.7426872782,-0.6779295808,-1.8429734181,0.3884098931,0.5266291121,0.6247030984,7.5223335062e+00
0.1000002533,5,1.3039971138,-0.0748350809,0.5272905004,0.9646197085,0.1443747879,-0.0197299136,1.7004084729e+00
0.1000002533,6,5.0436138922,-0.2462946214,0.6504032069,-0.9456447098,-0.4658144115,-0.0800954058,2.5438041094e+01
0.1000002533,7,0.6401229098,-0.3573639957,1.6040447013,0.5972940223,0.4269027568,-0.2866139118,4.0975733970e-01
0.1000002533,8,4.6922832346,0.7668742544,-0.0402087824,-0.9997978863,1.5334385173,-0.0154175400,2.2017521954e+01
0.1000002533,9,3.5412392683,0.0437735990,-1.8423971024,-0.3890928286,0.0340639869,-0.0403241760,1.2540375556e+01
0.1000002533,10,3.7505250006,0.6140516538,-1.6405183485,-0.5719920341,0.7024653090,-0.5036815025,1.4066437780e+01
0.2000002533,1,4.2884356411,-0.9111988107,-0.8227340153,-0.9114697938,-1.6610603842,0.3748371281,1.8390680248e+01
0.2000002533,2,2.8772944031,-0.6039894381,-1.9305521159,0.2612319505,0.3155626780,0.5830165439,8.2788230820e+00
