id,mass,radius,theta,theta_dot,x,y,vx,vy
1,1.0000000000,0.1000000000,3.2465464727,2.4353281679,-1.9889948035,-0.1047612422,0.5102560080,-2.4219275355
2,1.0000000000,0.1000000000,0.1973269884,0.7117075708,1.9611882427,0.1960488948,-0.2790589654,0.6978962601
3,1.0000000000,0.1000000000,0.7957601771,0.2307098666,1.3994838020,0.7143957391,-0.3296362913,0.1614373606
4,1.0000000000,0.1000000000,2.3449136583,-0.6096623141,-1.3981704119,0.7150383730,0.8718638983,0.4262059044
5,1.0000000000,0.1000000000,3.0019016643,-1.1639369357,-1.9805181385,0.1392371207,0.3241264551,1.1525991066
6,1.0000000000,0.1000000000,4.3067658322,-0.9541094261,-0.7891828417,-0.9188566867,-1.7533796519,0.3764833941
7,1.0000000000,0.1000000000,2.5781305307,2.0878798535,-1.6908220102,0.5341163099,-2.2303413656,-1.7651166055
8,1.0000000000,0.1000000000,5.2819365543,-1.1836471048,1.0785021911,-0.8421450326,-1.9936050593,-0.6382829980
9,1.0000000000,0.1000000000,4.8198392984,-0.5535388433,0.2144873496,-0.9942327666,-1.1006929111,-0.0593635397
10,1.0000000000,0.1000000000,0.6534095792,-0.2508077819,1.5880314885,0.6078971935,0.3049306935,-0.1991453276
11,1.0000000000,0.1000000000,4.9661611193,0.4958100875,0.5021141254,-0.9679722885,0.9598608501,0.1244766242
12,1.0000000000,0.1000000000,2.1330883064,-0.4066362233,-1.0662533849,0.8460354188,0.6880572949,0.2167886247
13,1.0000000000,0.1000000000,5.5747772007,1.4286329053,1.5187971293,-0.6506257142,1.8590106088,1.0849017777
14,1.0000000000,0.1000000000,1.1178312375,1.5429600473,0.8752670484,0.8991534343,-2.7747156512,0.6752510432
15,1.0000000000,0.1000000000,0.9828027901,-1.9053904499,1.1093853042,0.8320553237,3.1707805352,-1.0569060820
16,1.0000000000,0.1000000000,5.8959579305,-1.5141393821,1.8519192454,-0.3776225327,-1.1435462965,-1.4020319310
17,1.0000000000,0.1000000000,4.5429240628,1.0434636443,-0.3373099116,-0.9856751523,2.0570323730,-0.1759853148
18,1.0000000000,0.1000000000,1.9285088546,-0.3219301191,-0.7002649511,0.9367001919,0.6031040087,0.1127181896
19,1.0000000000,0.1000000000,5.4247644012,-0.1679965710,1.3072667178,-0.7568113584,-0.2542834262,-0.1098081630
20,1.0000000000,0.1000000000,3.6770574748,0.6166329472,-1.7200631028,-0.5102408555,0.6292626450,-0.5303237903
