time,particle_id,theta,theta_dot,x,y,vx,vy,energy
0.0000000000,1,3.3823706790,1.9894181098,-1.9423054844,-0.2384582800,0.9487864414,-1.9320288528,1.1440431410e+01
0.0000000000,2,0.1730507161,-1.7185472759,1.9701281081,0.1721882964,0.5918274555,-1.6928791466,2.9946550333e-02
0.0000000000,3,0.7279490129,1.6221742488,1.4930811502,0.6653398904,-2.1585944738,1.2110188966,5.2990976541e-01
0.0000000000,4,2.3205697893,0.5096955653,-1.3629459752,0.7318432668,-0.7460345352,-0.3473437596,5.3850441471e+00
0.0000000000,5,3.1218470682,-0.7209801822,-1.9996101245,0.0197443023,0.0284705013,0.7208396360,9.7459291175e+00
0.0000000000,6,4.0273360341,1.7069041020,-1.2654280265,-0.7743855483,2.6436037379,-1.0799821446,1.6219435531e+01
0.0000000000,7,2.6799890072,-0.4857955659,-1.7906788197,0.4453844869,0.4327316177,0.4349519153,7.1823410787e+00
0.0000000000,8,5.2690272092,0.4226476722,1.0566698478,-0.8490360465,0.7176862173,0.2232995257,2.7762647731e+01
0.0000000000,9,4.4956547570,-1.7009015526,-0.4300828039,-0.9766049331,-3.3222176942,0.3657642545,2.0210911694e+01
0.0000000000,10,0.3887229478,0.3068378377,1.8507876519,0.3790069483,-0.2325873450,0.2839458406,1.5110553019e-01
0.0000000000,11,4.6293325515,-0.6002044400,-0.1659219390,-0.9965527972,-1.1962708271,0.0497935422,2.1430719872e+01
0.0000000000,12,2.1112044891,1.1530524943,-1.0289720663,0.8574987590,-1.9774821659,-0.5932294038,4.4571843946e+00
0.0000000000,13,5.7433568671,-0.2068770247,1.7155937477,-0.5139888357,-0.2126649621,-0.1774584651,3.2986148102e+01
0.0000000000,14,1.5419933902,-1.0469747845,0.0575979084,0.9995852241,2.0930810491,-0.0301517789,2.3777436156e+00
0.0000000000,15,1.1125111785,-0.1971438782,0.8848217156,0.8968124848,0.3536021825,-0.0872185922,1.2376811222e+00
0.0000000000,16,6.1773640250,-1.0842968391,1.9888123022,-0.1056238924,-0.2290553054,-1.0782314464,3.8159826297e+01
0.0000000000,17,4.2700995963,0.5210669729,-0.8560193422,-0.9037741540,0.9418537253,-0.2230217037,1.8233750562e+01
0.0000000000,18,1.6572998276,-0.9071704711,-0.1727913180,0.9962609046,1.8075569485,0.0783755907,2.7466427187e+00
0.0000000000,19,5.5810751167,1.8956582306,1.5269621267,-0.6458302144,2.4485467231,1.4472991617,3.1148399458e+01
0.0000000000,20,3.8099387645,-0.6615363006,-1.5696952707,-0.6196887842,-0.8198932517,0.5192052012,1.4515633389e+01
0.0010000000,1,3.3843589227,1.9870658150,-1.9413534196,-0.2403886957,0.9553363191,-1.9287985075,1.1453885317e+01
0.0010000000,2,0.1713314809,-1.7199229726,1.9707172605,0.1704944860,0.5864747663,-1.6947409444,2.9354476343e-02
0.0010000000,3,0.7295703469,1.6204931077,1.4909217123,0.6665494070,-2.1602774398,1.2080141794,5.3227289106e-01
0.0010000000,4,2.3210795594,0.5098447673,-1.3636919417,0.7314957772,-0.7458985886,-0.3476356003,5.3874103211e+00
0.0010000000,5,3.1211261036,-0.7209488753,-1.9995811350,0.0204651212,0.0295086122,0.7207978852,9.7414281546e+00
0.0010000000,6,4.0290421750,1.7053773475,-1.2627837643,-0.7754639200,2.6449172059,-1.0767614132,1.6233180848e+01
0.0010000000,7,2.6795033000,-0.4856186341,-1.7902459557,0.4458193071,0.4329963259,0.4346883979,7.1797379348e+00
0.0010000000,8,5.2694498949,0.4227237255,1.0573875041,-0.8488126510,0.7176264921,0.2234913925,2.7767102195e+01
0.0010000000,9,4.4939536190,-1.7013756050,-0.4334048596,-0.9762377051,-3.3218940323,0.3686922276,2.0195619129e+01
0.0010000000,10,0.3890297511,0.3067686178,1.8505550037,0.3792908443,-0.2327090561,0.2838461003,1.5134414725e-01
0.0010000000,11,4.6287323358,-0.6002269755,-0.1671182022,-0.9965028232,-1.1962557513,0.0501544265,2.1425163037e+01
0.0010000000,12,2.1123578160,1.1536022323,-1.0309493343,0.8569048182,-1.9770546223,-0.5946527267,4.4620555428e+00
0.0010000000,13,5.7431500058,-0.2068454509,1.7153810623,-0.5141662696,-0.2127059077,-0.1774093846,3.2983771989e+01
0.0010000000,14,1.5409464035,-1.0469988969,0.0596909814,0.9995545241,2.0930649683,-0.0312481958,2.3745158184e+00
0.0010000000,15,1.1123140278,-0.1971574371,0.8851753128,0.8967252458,0.3535921026,-0.0872594480,1.2372424965e+00
0.0010000000,16,6.1762799077,-1.0839368036,1.9885821161,-0.1067018830,-0.2313161961,-1.0777486713,3.8146433498e+01
